Info Date,Ticker,Company,Sector,Market Cap,Shares Outstanding,Open,Close,Volume,Change (%),1 Month Return (%),3 Month Return (%),6 Month Return (%),12 Month Return (%),3 Year Return (%),5 Year Return (%)
2025-04-15,3PL,3P Learning Ltd,Consumer Services,208773489.33,272906522.0,0.765,0.765,0.0,0.0,15.91,-3.16,-25.73,-38.8,-53.21,-13.07
2025-04-15,TGP,360 Capital Group,Financial Services,132827453.64,210837228.0,0.57,0.63,535177.0,10.53,1.61,7.69,0.0,-2.33,-37.62,-29.21
2025-04-15,T3D,333D Ltd,Commercial & Professional Services,880917.39,176183477.0,0.005,0.005,140140.0,0.0,-16.67,-50.0,-28.57,-28.57,-91.67,-91.67
2025-04-15,5EA,5E Advanced Materials Inc,Materials,9136299.4,14977540.0,0.6,0.61,334.0,1.67,2.52,-71.79,-70.53,-87.37,-99.2,
2025-04-15,TDO,3D Energi Ltd,Energy,33013881.95,333473555.0,0.099,0.099,2020.0,0.0,-5.71,8.79,43.48,47.76,54.69,98.0
2025-04-15,5GN,5G Networks Ltd,Software & Services,41724749.64,298033926.0,0.14,0.14,51041.0,0.0,-3.45,-15.15,-5.08,-12.5,-49.09,84.21
2025-04-15,14D,1414 Degrees Ltd,Capital Goods,5755580.36,287779018.0,0.02,0.02,554716.0,0.0,0.0,-9.09,-64.29,-78.49,-75.94,-82.01
2025-04-15,8IH,8I Holdings Ltd,Financial Services,3133447.75,348160861.0,0.009,0.009,60000.0,0.0,0.0,-5.26,12.5,-10.0,-91.82,-91.0
2025-04-15,88E,88 Energy Ltd,Energy,43400717.93,28933811952.0,0.002,0.0015,3169795.0,-25.0,50.0,-25.0,-25.0,-75.0,-89.87,-74.67
2025-04-15,8CO,8COMMON Ltd,Software & Services,3361423.54,224094903.0,0.016,0.015,390000.0,-6.25,-42.31,-53.12,-57.14,-57.14,-88.89,-76.92
2025-04-15,29M,29METALS Ltd,Materials,164507089.08,1370892409.0,0.12,0.12,3140434.0,0.0,-27.27,-44.19,-73.26,-73.53,-95.38,
2025-04-15,ASK,Abacus Storage King,Equity Real Estate Investment Trusts (REITs),1918590324.52,1314102962.0,1.44,1.46,8328104.0,1.39,28.63,30.36,12.74,25.32,,
2025-04-15,TCF,360 Capital Mortgage REIT,Not Applic,33165180.3,5621217.0,5.87,5.9,1408.0,0.51,0.68,0.85,0.34,15.46,0.68,23.43
2025-04-15,AYI,A1 Investments & Resources Ltd,Financial Services,20527433.03,20527433025.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-50.0
2025-04-15,4DS,4DS Memory Ltd,Semiconductors & Semiconductor Equipment,58067383.18,2002323558.0,0.027,0.029,2839988.0,7.41,0.0,-29.27,-64.2,-70.1,-69.15,-3.33
2025-04-15,ABG,Abacus Group,Equity Real Estate Investment Trusts (REITs),1005364837.12,893657633.0,1.1,1.125,1028721.0,2.27,0.9,1.81,-7.41,-1.32,-66.42,-52.6
2025-04-15,4DX,4DMEDICAL Ltd,Health Care Equipment & Services,114856860.05,450419059.0,0.255,0.255,327400.0,0.0,-31.08,-50.96,-54.05,-56.78,-64.83,
2025-04-15,AX8,Accelerate Resources Ltd,Materials,6297509.7,787188712.0,0.006,0.008,2898614.0,33.33,14.29,0.0,-11.11,-79.49,-87.88,-41.82
2025-04-15,AX1,Accent Group Ltd,Consumer Discretionary Distribution & Retail,1027288146.88,565998979.0,1.8,1.815,942980.0,0.83,3.12,-19.69,-24.06,-5.47,16.72,85.2
2025-04-15,ABX,ABX Group Ltd,Materials,10011737.56,250293439.0,0.04,0.04,267699.0,0.0,14.29,11.11,-2.44,-41.18,-77.78,-50.0
2025-04-15,TOT,360 Capital REIT,Equity Real Estate Investment Trusts (REITs),79005140.23,216452439.0,0.37,0.365,30282.0,-1.35,-3.95,-8.75,-16.09,-15.12,-60.54,-58.77
2025-04-15,ADC,Acdc Metals Ltd,Materials,3140555.46,74775130.0,0.042,0.042,0.0,0.0,-8.7,-23.64,-28.81,-40.0,,
2025-04-15,AKG,Academies Australasia Group Ltd,Consumer Services,13924519.04,132614467.0,0.105,0.105,9529.0,0.0,16.67,-8.7,-8.7,-47.5,-58.0,-65.0
2025-04-15,ACS,Accent Resources NL,Materials,2838763.7,473127283.0,0.006,0.006,0.0,0.0,0.0,0.0,-14.29,-25.0,-88.89,20.0
2025-04-15,ACF,Acrow Ltd,Capital Goods,327178244.23,307209619.0,1.055,1.065,408226.0,0.95,1.43,-0.93,-2.29,-8.19,108.82,326.0
2025-04-15,ACQ,Acorn Capital Investment Fund Ltd,Not Applic,65191129.41,89302917.0,0.72,0.73,10613.0,1.39,-2.67,-10.43,-13.61,-17.51,-51.66,-14.14
2025-04-15,ACE,Acusensus Ltd,Software & Services,140725991.31,140025862.0,0.975,1.005,81841.0,3.08,-6.94,-2.9,15.52,62.1,,
2025-04-15,ATV,Activeport Group Ltd,Software & Services,8562213.59,684977087.0,0.013,0.0125,240384.0,-3.85,4.17,-21.87,-37.5,-86.98,-90.38,
2025-04-15,ADH,Adairs Ltd,Consumer Discretionary Distribution & Retail,388832547.4,176742067.0,2.17,2.2,283306.0,1.38,2.8,-10.57,9.45,-5.17,-22.81,80.33
2025-04-15,ACR,ACRUX Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",9368249.42,407315192.0,0.024,0.023,77445.0,-4.17,-8.0,-28.12,-60.34,-63.49,-72.94,-84.67
2025-04-15,ADG,Adelong Gold Ltd,Materials,6987430.99,1397486198.0,0.005,0.005,5345000.0,0.0,0.0,0.0,25.0,25.0,-85.71,-39.5
2025-04-15,1AD,Adalta Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",3859336.55,643222759.0,0.006,0.006,7268.0,0.0,-40.0,-64.71,-70.0,-79.31,-91.67,-86.1
2025-04-15,ACW,Actinogen Medical Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",92137269.99,3177147241.0,0.031,0.029,988155.0,-6.45,-3.33,11.54,11.54,-8.12,-65.6,56.18
2025-04-15,ACU,Acumentis Group Ltd,Real Estate Management & Development,15058943.13,221455046.0,0.069,0.068,73531.0,-1.45,-12.82,-20.93,-17.07,-15.0,-43.33,-2.86
2025-04-15,AIV,Activex Ltd,Materials,1939523.19,215502577.0,0.009,0.009,0.0,0.0,0.0,12.5,80.0,-25.0,-82.0,-93.08
