Info Date,Ticker,Company,Sector,Market Cap,Shares Outstanding,Open,Close,Volume,Change (%)
2025-04-15,BCI,BCI Minerals Ltd,Materials,693003134.64,2887513061.0,0.235,0.24,278637.0,2.13
2025-04-15,DVP,Develop Global Ltd,Materials,684338646.29,272644879.0,2.44,2.51,1027333.0,2.87
2025-04-15,KKC,KKR Credit Income Fund,Not Applic,683771827.72,322533881.0,2.12,2.12,438673.0,0.0
2025-04-15,SLX,SILEX Systems Ltd,Capital Goods,680973790.64,238102724.0,2.95,2.86,1743288.0,-3.05
2025-04-15,PEP,Pepper Residential Securities Trust No. 39,Not Applic,680321252.07,184368903.0,3.69,3.69,0.0,0.0
2025-04-15,PWH,PWR Holdings Ltd,Automobiles & Components,670761279.7,100563910.0,6.46,6.67,184893.0,3.25
2025-04-15,RFF,Rural Funds Group,Equity Real Estate Investment Trusts (REITs),670323558.28,389722999.0,1.71,1.72,416852.0,0.58
2025-04-15,PPC,Peet Ltd,Real Estate Management & Development,667126512.3,468158956.0,1.35,1.425,23263.0,5.56
2025-04-15,RPL,Regal Partners Ltd,Financial Services,657404284.72,338868188.0,1.75,1.94,2079098.0,10.86
2025-04-15,JIN,Jumbo Interactive Ltd,Consumer Services,651257523.14,62440798.0,10.25,10.43,122835.0,1.76
2025-04-15,BOT,Botanix Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",650618561.05,1832728341.0,0.355,0.355,0.0,0.0
2025-04-15,HGH,Heartland Group Holdings Ltd,Banks,648668890.29,940099841.0,0.7,0.69,25274.0,-1.43
2025-04-15,WHF,Whitefield Industrials Ltd,Not Applic,647380244.28,120107652.0,5.35,5.39,26303.0,0.75
2025-04-15,PGC,Paragon Care Ltd,Health Care Equipment & Services,637292574.76,1655305389.0,0.4,0.385,103141.0,-3.75
2025-04-15,FCL,Fineos Corporation Holdings Plc,Software & Services,632994373.55,338499665.0,1.805,1.87,71643.0,3.6
2025-04-15,MOT,Metrics Income Opportunities Trust,Not Applic,624995020.8,332444160.0,1.9,1.88,459657.0,-1.05
2025-04-15,MYS,Mystate Ltd,Banks,623940159.06,169089474.0,3.64,3.69,175899.0,1.37
2025-04-15,OPH,Ophir High Conviction Fund,Not Applic,623276085.6,222598602.0,2.72,2.8,124178.0,2.94
2025-04-15,MIR,Mirrabooka Investments Ltd,Not Applic,619174502.34,194708963.0,3.24,3.18,101430.0,-1.85
2025-04-15,LLL,Leo Lithium Ltd,Materials,608438045.57,1204827813.0,0.505,0.505,0.0,0.0
2025-04-15,TEA,Tasmea Ltd,Capital Goods,607468392.96,230101664.0,2.7,2.64,130533.0,-2.22
2025-04-15,SX2,Southern Cross Gold Consolidated Ltd,Materials,606970220.0,121394044.0,4.97,5.0,195877.0,0.6
2025-04-15,FPR,Fleetpartners Group Ltd,Financial Services,606577450.5,224658315.0,2.61,2.7,246606.0,3.45
2025-04-15,RF1,Regal Investment Fund,Not Applic,603017180.9,216912655.0,2.7,2.78,197783.0,2.96
2025-04-15,HM1,Hearts and Minds Investments Ltd,Not Applic,602223099.21,228982167.0,2.61,2.63,240820.0,0.77
2025-04-15,PPM,Pepper Money Ltd,Financial Services,599427237.6,444020176.0,1.35,1.35,194075.0,0.0
2025-04-15,APZ,Aspen Group,Equity Real Estate Investment Trusts (REITs),596391776.64,200805312.0,3.0,2.97,126803.0,-1.0
2025-04-15,GWA,GWA Group Ltd,Capital Goods,594059453.12,265205113.0,2.23,2.24,68829.0,0.45
2025-04-15,JLG,Johns LYNG Group Ltd,Capital Goods,588877184.48,283114031.0,2.05,2.08,2120964.0,1.46
2025-04-15,ACL,Australian Clinical Labs Ltd,Health Care Equipment & Services,585778225.5,198568890.0,3.0,2.95,306562.0,-1.67
2025-04-15,AEF,Australian Ethical Investment Ltd,Financial Services,585246039.0,113419775.0,5.27,5.16,66502.0,-2.09
2025-04-15,MYX,Mayne Pharma Group Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",567095872.46,81245827.0,7.02,6.98,1367240.0,-0.57
2025-04-15,UNI,Universal Store Holdings Ltd,Consumer Discretionary Distribution & Retail,563130745.4,76720810.0,7.25,7.34,158996.0,1.24
2025-04-15,RUL,Rpmglobal Holdings Ltd,Software & Services,561979377.08,222126236.0,2.53,2.53,186356.0,0.0
2025-04-15,URW,Unibail-Rodamco-Westfield,Equity Real Estate Investment Trusts (REITs),561526999.0,92814380.0,6.0,6.05,229555.0,0.83
2025-04-15,CU6,Clarity Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",560758562.94,321351612.0,1.665,1.745,3541673.0,4.8
2025-04-15,PYC,PYC Therapeutics Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",550946688.0,550946688.0,0.975,1.0,2554640.0,2.56
2025-04-15,MAH,Macmahon Holdings Ltd,Materials,549521383.59,2154985818.0,0.245,0.255,852482.0,4.08
2025-04-15,PCI,Perpetual Credit Income Trust,Not Applic,544865237.28,486486819.0,1.135,1.12,663795.0,-1.32
2025-04-15,FGG,Future Generation Global Ltd,Not Applic,544611467.4,398982760.0,1.37,1.365,244619.0,-0.36
2025-04-15,MAC,MAC Copper Ltd,Materials,543334364.65,40821515.0,13.59,13.31,61964.0,-2.06
2025-04-15,CUV,Clinuvel Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",538327786.2,50123630.0,10.66,10.74,130031.0,0.75
2025-04-15,EBR,EBR Systems Inc,Health Care Equipment & Services,522054853.6,372896324.0,1.79,1.4,5286833.0,-21.79
2025-04-15,SLF,SPDR S&P/ASX 200 Listed Property ETF,Not Applic,510249512.31,41450001.0,12.32,12.31,17945.0,-0.08
2025-04-15,AD8,Audinate Group Ltd,Technology Hardware & Equipment,505980595.58,83357594.0,6.1,6.07,167180.0,-0.49
2025-04-15,SRV,Servcorp Ltd,Real Estate Management & Development,493439440.0,98687888.0,4.99,5.0,60343.0,0.2
2025-04-15,FGX,Future Generation Australia Ltd,Not Applic,488894427.82,409116676.0,1.2,1.195,259944.0,-0.42
2025-04-15,KSC,K & S Corporation Ltd,Transportation,484445399.82,136848983.0,3.54,3.54,0.0,0.0
