filename,announcement_number,asx_code,exchange,sensitive,headline,rec_type,rec_date,rec_time,rel_date,rel_time,n_pages,rep_types
2024030102779916,6A1196334,ZOR,6,N,E MAP Test,E,2024-03-01,0 days 06:35:14,2024-03-01,0 days 06:52:48,1,['14100']
2024030102779917,2A1508834,SKT,2,N,Update - Notification of buy-back - SKT,E,2024-03-01,0 days 04:55:54,2024-03-01,0 days 07:30:03,6,['06012']
2024030102779918,2A1508835,SKT,2,N,Notification of cessation of securities - SKT,E,2024-03-01,0 days 05:00:08,2024-03-01,0 days 07:30:13,4,['06027']
2024030102779919,2A1508837,BGP,2,N,BGP Director Nomination Closing Date,E,2024-03-01,0 days 05:43:51,2024-03-01,0 days 07:30:28,1,['12008']
2024030102779920,2A1508838,NZK,2,Y,NZK - Blue Endeavours - salmon farming in the open ocean,E,2024-03-01,0 days 06:24:11,2024-03-01,0 days 07:30:38,2,['11001']
2024030102779921,2A1508839,CNU,2,N,Ongoing Disclosure Notice - Will Irving,E,2024-03-01,0 days 06:43:04,2024-03-01,0 days 07:30:48,2,['02009']
2024030102779922,2A1508840,SM1,2,N,Independent Director appointed,E,2024-03-01,0 days 06:43:28,2024-03-01,0 days 07:30:58,1,['12001']
2024030102779923,2A1508841,CNU,2,N,Ongoing Disclosure Notice - Mark Cross,E,2024-03-01,0 days 06:44:06,2024-03-01,0 days 07:31:08,2,['02009']
2024030102779924,2A1508846,SKT,2,N,Ongoing Disclosure Notice - Sophie Moloney,E,2024-03-01,0 days 07:37:00,2024-03-01,0 days 07:42:28,2,['02006']
2024030102779925,2A1508847,FSF,2,N,Monthly Allotment / Redemption Notice,E,2024-03-01,0 days 07:49:19,2024-03-01,0 days 07:51:08,1,['06007']
2024030102779926,6A1196336,NTL,6,N,Change in substantial holding - H Brown,E,2024-03-01,0 days 07:58:10,2024-03-01,0 days 08:00:08,1,['02006']
2024030102779927,6A1196321,MSG,6,Y,Half Year Report and Appendix 4D to 31 December 2023,E,2024-03-01,0 days 00:15:38,2024-03-01,0 days 08:19:38,32,"['03004', '03009', '03010', '03015', '03019']"
2024030102779928,6A1196322,EMV,6,N,Application for quotation of securities - EMV,E,2024-03-01,0 days 00:21:51,2024-03-01,0 days 08:19:48,6,['06020']
2024030102779929,6A1196323,OXT,6,N,Resignation of director and Strategic Review update,E,2024-03-01,0 days 00:21:01,2024-03-01,0 days 08:19:53,2,['12001']
2024030102779930,6A1196324,OXT,6,N,Final directors interest notice,E,2024-03-01,0 days 00:23:41,2024-03-01,0 days 08:20:08,3,['02010']
2024030102779931,2A1508820,BFC,2,Y,Appendix 4D and FY24 Half-Year Financial Statements,E,2024-02-29,0 days 20:26:41,2024-03-01,0 days 08:20:18,27,"['03004', '03009', '03010', '03015', '03019']"
2024030102779932,6A1196326,CC9,6,Y,Black Mountain Project Land Position Expanded,E,2024-03-01,0 days 00:31:31,2024-03-01,0 days 08:20:19,5,['11001']
2024030102779933,3A637922,ACL,3,N,Ceasing to be a substantial holder,E,2024-02-29,0 days 20:30:37,2024-03-01,0 days 08:20:28,3,['02003']
2024030102779934,2A1508821,ALU,2,N,Becoming a substantial holder,E,2024-02-29,0 days 20:32:35,2024-03-01,0 days 08:20:38,42,['02001']
2024030102779935,6A1196327,NKL,6,N,Half Yearly Report and Accounts,E,2024-03-01,0 days 00:34:48,2024-03-01,0 days 08:20:48,18,"['03009', '03010', '03015', '03019']"
2024030102779936,2A1508822,BFC,2,Y,H1 FY24 Results,E,2024-02-29,0 days 20:34:45,2024-03-01,0 days 08:20:53,3,"['03004', '03014']"
2024030102779937,2A1508823,NIB,2,N,Annual Report to shareholders 2023,E,2024-02-29,0 days 20:53:23,2024-03-01,0 days 08:20:58,194,['03014']
2024030102779938,6A1196328,EMV,6,N,Application for quotation of securities - EMV,E,2024-03-01,0 days 00:38:47,2024-03-01,0 days 08:21:03,7,['06020']
2024030102779939,3A637934,ENV,3,Y,Enova commences due diligence at CODA project Brazil,E,2024-03-01,0 days 07:59:50,2024-03-01,0 days 08:21:13,6,['11001']
2024030102779940,6A1196329,MLS,6,N,"Investor Presentation for PDAC Convention, Toronto, Canada",E,2024-03-01,0 days 00:39:58,2024-03-01,0 days 08:21:14,18,['03026']
2024030102779941,6A1196330,EMV,6,N,Notification of cessation of securities - EMV,E,2024-03-01,0 days 00:41:06,2024-03-01,0 days 08:21:28,4,['06027']
2024030102779942,3A637935,AVH,3,N,AVITA Medical Announces FDA Resumes Review of RECELL GO,E,2024-03-01,0 days 08:00:08,2024-03-01,0 days 08:21:33,2,['11001']
2024030102779943,2A1508824,PFP,2,Y,Share Purchase Plan,E,2024-02-29,0 days 21:10:08,2024-03-01,0 days 08:21:34,2,['06017']
2024030102779944,6A1196331,EMV,6,N,Cleansing Notice,E,2024-03-01,0 days 00:54:51,2024-03-01,0 days 08:21:38,1,['06018']
2024030102779945,6A1196332,AQD,6,N,Change of Share Registry Details,E,2024-03-01,0 days 01:00:32,2024-03-01,0 days 08:21:43,1,['12004']
2024030102779946,6A1196305,LM8,6,N,Half Yearly Financial Report - 31 December 2023,E,2024-02-29,0 days 21:20:51,2024-03-01,0 days 08:21:48,31,"['03009', '03010', '03015', '03019']"
2024030102779947,3A637937,MWY,3,N,Appointment of Non-Executive Director,E,2024-03-01,0 days 08:02:28,2024-03-01,0 days 08:21:49,1,['12001']
2024030102779948,2A1508825,SML,2,N,Quarterly Portfolio Disclosure,E,2024-02-29,0 days 21:45:10,2024-03-01,0 days 08:21:58,1,['03014']
2024030102779949,2A1508853,FPR,2,N,Update - Notification of buy-back - FPR,E,2024-03-01,0 days 08:06:26,2024-03-01,0 days 08:22:08,6,['06012']
2024030102779950,2A1508826,EIN,2,N,Quarterly Portfolio Disclosure,E,2024-02-29,0 days 21:47:23,2024-03-01,0 days 08:22:09,1,['03014']
2024030102779951,6A1196333,HXG,6,Y,WAH2 Key Terms Agreement,E,2024-03-01,0 days 01:12:20,2024-03-01,0 days 08:22:13,2,['11001']
2024030102779952,6A1196307,TIE,6,N,Ceasing to be a substantial holder from MUFG,E,2024-02-29,0 days 21:47:58,2024-03-01,0 days 08:22:18,7,['02003']
2024030102779953,2A1508836,EMN,2,N,Notification of cessation of securities - EMN,E,2024-03-01,0 days 05:23:31,2024-03-01,0 days 08:22:23,4,['06027']
2024030102779954,2A1508827,RIN,2,N,Quarterly Portfolio Disclosure,E,2024-02-29,0 days 21:48:59,2024-03-01,0 days 08:22:28,1,['03014']
2024030102779955,3A637928,IMC,3,N,Change in substantial holding,E,2024-03-01,0 days 05:42:05,2024-03-01,0 days 08:22:29,5,['02002']
2024030102779956,2A1508851,TSK,2,N,Change of Company Secretary,E,2024-03-01,0 days 08:00:21,2024-03-01,0 days 08:22:33,1,['12007']
2024030102779957,3A637923,PGC,3,Y,Appendix 4D and Half Year Report,E,2024-02-29,0 days 21:52:37,2024-03-01,0 days 08:22:38,33,"['03004', '03009', '03010', '03015', '03019']"
2024030102779958,3A637929,DXB,3,N,Application for quotation of securities - DXB,E,2024-03-01,0 days 06:33:36,2024-03-01,0 days 08:22:39,6,['06020']
2024030102779959,2A1508855,ARA,2,Y,On-Market Buy-Back Facility Extended,E,2024-03-01,0 days 08:15:20,2024-03-01,0 days 08:22:48,1,['06011']
2024030102779960,3A637930,WBT,3,N,Weebit Nano retail investor briefings,E,2024-03-01,0 days 07:14:37,2024-03-01,0 days 08:22:49,2,['12008']
2024030102779961,2A1508829,HBR,2,N,Quarterly Portfolio Disclosure,E,2024-02-29,0 days 21:54:31,2024-03-01,0 days 08:22:53,2,['03014']
2024030102779962,3A637932,PPS,3,N,Update - Notification of buy-back - PPS,E,2024-03-01,0 days 07:20:25,2024-03-01,0 days 08:22:54,6,['06012']
2024030102779963,6A1196309,AMN,6,Y,Mackay Potash Project Process Engineering Update - Amended,E,2024-02-29,0 days 21:57:52,2024-03-01,0 days 08:23:03,10,['11001']
2024030102779964,6A1196310,MPK,6,N,Release of Securities from Escrow,E,2024-02-29,0 days 22:11:03,2024-03-01,0 days 08:23:13,1,['06009']
2024030102779965,2A1508844,ABE,2,Y,Half Yearly Report and Accounts,E,2024-03-01,0 days 07:32:22,2024-03-01,0 days 08:23:18,30,"['03004', '03009', '03010', '03015', '03019']"
2024030102779966,6A1196311,FIN,6,N,Change of Share Registry Details,E,2024-02-29,0 days 22:14:42,2024-03-01,0 days 08:23:23,1,['12004']
2024030102779967,2A1508845,GPT,2,N,Change in substantial holding,E,2024-03-01,0 days 07:35:19,2024-03-01,0 days 08:23:24,67,['02002']
2024030102779968,6A1196312,JGH,6,N,Change of Share Registry Details,E,2024-02-29,0 days 22:17:02,2024-03-01,0 days 08:23:33,1,['12004']
2024030102779969,6A1196313,PRN,6,N,Update - Notification of buy-back - PRN,E,2024-02-29,0 days 22:29:27,2024-03-01,0 days 08:24:03,6,['06012']
2024030102779970,2A1508830,WZR,2,N,WZR Appoints Chief Financial Officer,E,2024-02-29,0 days 23:20:42,2024-03-01,0 days 08:24:18,2,['12008']
2024030102779971,6A1196316,COS,6,N,Change of Company Secretary,E,2024-02-29,0 days 23:44:50,2024-03-01,0 days 08:24:28,1,['12007']
2024030102779972,2A1508831,FPC,2,N,Half Year Results Commentary,E,2024-02-29,0 days 23:52:54,2024-03-01,0 days 08:24:43,1,"['03004', '03014']"
2024030102779973,6A1196317,ADT,6,N,Notification of cessation of securities - ADT,E,2024-02-29,0 days 23:53:11,2024-03-01,0 days 08:24:48,4,['06027']
2024030102779974,2A1508832,FPC,2,N,Update - Notification of buy-back - FPC,E,2024-03-01,0 days 00:02:24,2024-03-01,0 days 08:25:03,6,['06012']
2024030102779975,6A1196318,BC8,6,Y,Belvedere Lookalike at Grey Goose,E,2024-02-29,0 days 23:59:21,2024-03-01,0 days 08:25:18,16,['11001']
2024030102779976,3A637938,TOP,3,N,Update - Notification of buy-back - TOP,E,2024-03-01,0 days 08:24:34,2024-03-01,0 days 08:25:23,6,['06012']
2024030102779977,2A1508833,UCM,2,N,Results of Rights Issue,E,2024-03-01,0 days 00:06:16,2024-03-01,0 days 08:25:28,1,['06008']
2024030102779978,2A1508858,WBC,2,N,Update - Notification of buy-back - WBC,E,2024-03-01,0 days 08:24:37,2024-03-01,0 days 08:25:38,6,['06012']
2024030102779979,6A1196320,VR8,6,N,Formalisation of Executive Chairman employment contract,E,2024-03-01,0 days 00:13:55,2024-03-01,0 days 08:25:43,2,['12008']
2024030102779980,3A637931,LSF,3,N,Net Tangible Asset Backing,E,2024-03-01,0 days 07:16:36,2024-03-01,0 days 08:25:48,1,['03016']
2024030102779981,2A1508854,EMN,2,N,Results of Annual General & Special Meeting of Shareholders,E,2024-03-01,0 days 08:07:54,2024-03-01,0 days 08:25:53,4,['08003']
2024030102779982,2A1508842,NEC,2,N,Update - Notification of buy-back - NEC,E,2024-03-01,0 days 07:18:44,2024-03-01,0 days 08:26:03,6,['06012']
2024030102779983,2A1508843,EMM,2,N,Quarterly Portfolio Disclosure,E,2024-03-01,0 days 07:18:43,2024-03-01,0 days 08:26:13,1,['03014']
2024030102779984,3A637933,TRS,3,N,Update - Notification of buy-back - TRS,E,2024-03-01,0 days 07:45:53,2024-03-01,0 days 08:26:23,6,['06012']
2024030102779985,6A1196338,KSN,6,N,Half Yearly Report and Accounts,E,2024-03-01,0 days 08:19:57,2024-03-01,0 days 08:26:28,28,"['03009', '03010', '03015', '03019']"
2024030102779986,6A1196335,NXD,6,N,Change of Director's Interest Notice - C O'Connor,E,2024-03-01,0 days 07:50:28,2024-03-01,0 days 08:26:33,3,['02009']
2024030102779987,2A1508856,OFX,2,N,Update - Notification of buy-back - OFX,E,2024-03-01,0 days 08:18:40,2024-03-01,0 days 08:26:43,6,['06012']
2024030102779988,2A1508848,CEH,2,N,Update - Notification of buy-back - CEH,E,2024-03-01,0 days 07:54:33,2024-03-01,0 days 08:26:44,6,['06012']
