error,Filename,Ticker,name,previous_votes,previous_power,present_votes,present_power
Unable to get page count. Is poppler installed and in PATH?,2024100102860486,14D,,,,,
,2024070102823226,AAL,acn/arsn (if applicable) acn 142 008 428,,,,
Unable to get page count. Is poppler installed and in PATH?,2024070402824644,AAL,,,,,
,2024070502825444,AAL,salter brothers emerging companies limited,,,,
,2024040902793779,3DA,and acn/arsn (if applicable) nature of association,,,,
,2025021802914166,3DA,and its controlled bodies corporate listed in annexure a (‘ish controlled entities’),,,,
,2025022102915914,3DA,(cid:32)(cid:53)(cid:49)(cid:40)(cid:50)(cid:36)(cid:47)(cid:47)(cid:53)(cid:36)(cid:52)(cid:44)(cid:48)(cid:47)(cid:1)(cid:33)(cid:50)(cid:53)(cid:51)(cid:52)(cid:1),,,,
,2024123002899523,AL3,107 576 821 regal funds management pty limited,,,,
,2025031802925952,ASB,"(including hanwha corporation, hanwha energy corporation and their respective controlled entities) (each of the",,,,
,2025031802926301,ASB,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025031902926768,ASB,,,,,
,2025032002927194,ASB,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
Unable to get page count. Is poppler installed and in PATH?,2025040802934295,ASB,,,,,
,2024091002850782,ANG,davidsingleton and jill singleton,,,,
Unable to get page count. Is poppler installed and in PATH?,2024112202884664,BMH,,,,,
,2025042202937990,BMH,mutual street pty ltd,,,,
,2025022502916888,BOL,phoenix portfolios pty ltd,,,,
,2024091302852150,CVL,patrick john tallon and associates,,,,
,2024091302852151,CVL,james finbarr fitzgerald and olive theresa fitzgerald as trustees for,,,,
,2024122702899059,DRO,"vanguard group (the vanguard group, inc. and its controlled entities including those",,,,
,2025011402903100,DRO,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025012102904609,DRO,jpmorgan chase & co. and its affiliates,,,,
,2025020402909130,DRO,jpmorgan chase & co. and its affiliates,,,,
,2025022402916631,DRO,107 576 821 regal funds management pty limited,,,,
,2025042802939415,DRO,jpmorgan chase & co. and its affiliates,,,,
,2025043002941456,DRO,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025050202942713,DRO,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024071202827309,DDB,"australian meat industry superannuation trust (""amist"")",,,,
Unable to get page count. Is poppler installed and in PATH?,2024080502835598,DDB,,,,,
,2024050202802781,EGL,greencape capital pty ltd,,,,
,2024050202802789,EGL,3),,,,
Unable to get page count. Is poppler installed and in PATH?,2024030802782934,ECL,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024061202816678,ECL,,,,,
,2024090202847833,FBR,m&g investments (singapore) pte. ltd.,,,,
,2024072902832461,FBU,schroder investment management australia limited and all of its related bodies corporate,,,,
,2025041002935073,FOS,fos capital limited,,,,
,2024102502871922,GWA,first sentier investors holdings pty limited acn 630 725 558 and its related bodies corporate or associates listed in annexure a,,,,
,2024102802872757,GWA,"mitsubishi ufj financial group, inc.",,,,
,2024112202884166,GWA,"vanguard group (the vanguard group, inc. and its controlled entities including those",,,,
Unable to get page count. Is poppler installed and in PATH?,2024101402865932,HNG,,,,,
,2025041702937746,HNG,h&g high conviction limited (hcf),,,,
Unable to get page count. Is poppler installed and in PATH?,2024022102775131,HCL,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024050102802276,IFT,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024062102819810,IFT,,,,,
,2024100802863786,IPG,qvg capital pty ltd,,,,
Unable to get page count. Is poppler installed and in PATH?,2024111802881955,IPG,,,,,
,2024112702886509,IPG,acn/arsn (if applicable),,,,
,2024120402890415,IPG,greencape capital pty ltd,,,,
,2024120402890445,IPG,challenger limited (and its entities listed in annexure 2),,,,
Unable to get page count. Is poppler installed and in PATH?,2024082802844736,JLG,,,,,
,2024120602891273,JLG,jpmorgan chase & co. and its affiliates,,,,
,2025012802906411,JLG,australiansuper pty ltd,,,,
,2025020302909080,JLG,and acn/ arsn (if applicable) nature of association,,,,
,2025022002915484,JLG,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025031002922951,JLG,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025031002923025,JLG,jpmorgan chase & co. and its affiliates,,,,
,2025032402928127,JLG,,,,,
Unable to get page count. Is poppler installed and in PATH?,2025032502928628,JLG,,,,,
,2025040202931939,JLG,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025040702933745,JLG,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025041702937886,JLG,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025042202938042,JLG,jpmorgan chase & co. and its affiliates,,,,
,2025042402939353,JLG,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025043002941463,JLG,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024111202879748,KOV,perpetual limited and its related bodies corporate,,,,
,2025031002923012,MPW,maybank securities pte. ltd.,,,,
,2025031202923818,MPW,mr john barnes,,,,
Unable to get page count. Is poppler installed and in PATH?,2024091202851677,MND,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024092302855643,MND,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024100102860491,MND,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024100302861766,MND,,,,,
,2025030302920482,MND,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025031302924551,MND,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025032402927756,MND,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025032502928637,MND,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
Unable to get page count. Is poppler installed and in PATH?,2025042202937983,MND,,,,,
,2024090602850063,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024091202851640,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024091702853316,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024091902854362,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024100702863403,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024101702868019,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024102302870487,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024110702878300,NWH,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2025032802929955,NWH,australian retirement trust pty ltd atf australian retirement trust,,,,
Unable to get page count. Is poppler installed and in PATH?,2024080102834730,OLH,,,,,
,2024061802818617,OEC,macquarie group limited ('mqg'); and,,,,
,2024062702821461,OEC,macquarie group limited ('mqg'); and,,,,
,2024020602769809,RDX,claudia walters,,,,
,2024031402785145,RDX,perpetual limited and its related bodies corporate,,,,
,2024091302852577,RDX,and acn/arsn (if applicable) nature of association,,,,
,2024020902771215,RWC,form,,,,
,2024022302776681,RWC,form,,,,
,2024022702777850,RWC,and acn/arsn (if applicable) nature of association,,,,
,2024022802778864,RWC,form,,,,
,2024030602782065,RWC,form,,,,
,2024032802790389,RWC,form,,,,
,2024040202790578,RWC,form,,,,
,2024041602796131,RWC,form,,,,
,2024080602836034,RWC,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
Unable to get page count. Is poppler installed and in PATH?,2024022802778595,REM,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024120402890159,SND,,,,,
,2024060702815649,SSM,acn / arsn,,,,
Unable to get page count. Is poppler installed and in PATH?,2024070302823971,SSM,,,,,
,2024092602858001,SSM,pinnacle investment management group limited (and its subsidiaries,,,,
,2025031102923054,SSM,"vanguard group (the vanguard group, inc. and its controlled entities including those",,,,
,2025040202931820,SSM,australian retirement trust pty ltd atf australian retirement trust,,,,
,2025041702937442,SSM,"vanguard group (the vanguard group, inc. and its controlled entities including those",,,,
,2025042202938281,SSM,"mitsubishi ufj financial group, inc.",,,,
Unable to get page count. Is poppler installed and in PATH?,2024070302824082,SKS,,,,,
,2025032502928626,SRG,,,,,
,2025041702937441,SRG,"vanguard group (the vanguard group, inc. and its controlled entities including those",,,,
Unable to get page count. Is poppler installed and in PATH?,2024061702818028,SGI,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024061702818099,SGI,,,,,
,2024112502885143,SYL,andrew fairbairn,,,,
,2024112502885146,SYL,joseph bartolo,,,,
,2024112502885147,SYL,raymond dando,,,,
Unable to get page count. Is poppler installed and in PATH?,2024050102802309,TEA,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024050102802310,TEA,,,,,
,2024022202776012,VNT,aware super pty ltd as trustee of aware super,,,,
,2024022902779765,VNT,aware super pty ltd as trustee of aware super,,,,
,2024031302784580,VNT,form,,,,
,2024031902786742,VNT,form,,,,
,2024032802790193,VNT,aware super pty ltd as trustee of aware super,,,,
,2024042402799180,VNT,form,,,,
Unable to get page count. Is poppler installed and in PATH?,2024051402806371,VNT,,,,,
,2024051402806388,VNT,form,,,,
,2024052002808653,VNT,form,,,,
Unable to get page count. Is poppler installed and in PATH?,2024052902811562,VNT,,,,,
,2024060402814176,VNT,form,,,,
,2024061702818075,VNT,form,,,,
,2024062802822592,VNT,form,,,,
,2024090402848856,VNT,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024090602850065,VNT,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024121802896361,VNT,aware super pty ltd as trustee of aware super,,,,
Unable to get page count. Is poppler installed and in PATH?,2025042402939291,VNT,,,,,
Unable to get page count. Is poppler installed and in PATH?,2024050102802394,WOR,,,,,
,2024050202802434,WOR,"the goldman sachs group, inc. (“gsgi”) on behalf of itself and its subsidiaries (“goldman",,,,
,2024050602803915,WOR,l1 capital pty ltd and each of the entities set out in annexure a,,,,
,2024050702804389,WOR,form,,,,
,2024051502807215,WOR,form,,,,
,2024052102809015,WOR,form,,,,
,2024052902812029,WOR,form,,,,
,2024060302813649,WOR,form,,,,
,2024062602821335,WOR,form,,,,
,2024070802826008,WOR,form,,,,
,2024071102827166,WOR,form,,,,
,2024080202835171,WOR,form,,,,
,2024080902837352,WOR,state street corporation and subsidiaries named in paragraph 7 to this form,,,,
,2024092602857438,WOR,"vanguard group (the vanguard group, inc. and its controlled entities including those",,,,
