"Filename","RepType Code","Description","Ticker","Date"
"2025010602900821","02002","Change in substantial holding","BEO","2025-01-06"
"2025010602900822","02002","Change in substantial holding","BEO","2025-01-06"
"2025010602900832","02003","Ceasing to be substantial holder","DEG","2025-01-06"
"2025010602900835","02003","Ceasing to be substantial holder","MSB","2025-01-06"
"2025010602900837","02003","Ceasing to be substantial holder","SGF","2025-01-06"
"2025010602900838","02003","Ceasing to be substantial holder","WGX","2025-01-06"
"2025010602900854","02001","Becoming substantial holder","PRN","2025-01-06"
"2025010602900856","02003","Ceasing to be substantial holder","KAR","2025-01-06"
"2025010602900857","02003","Ceasing to be substantial holder","MEC","2025-01-06"
"2025010602900869","02001","Becoming substantial holder","AHN","2025-01-06"
"2025010602900870","02002","Change in substantial holding","AHN","2025-01-06"
"2025010602900883","02002","Change in substantial holding","SLH","2025-01-06"
"2025010702900901","02003","Ceasing to be substantial holder","MIN","2025-01-07"
"2025010702900902","02001","Becoming substantial holder","NHC","2025-01-07"
"2025010702900905","02001","Becoming substantial holder","IRE","2025-01-07"
"2025010702900919","02002","Change in substantial holding","NVA","2025-01-07"
"2025010702900921","02001","Becoming substantial holder","AAM","2025-01-07"
"2025010702900922","02003","Ceasing to be substantial holder","MMS","2025-01-07"
"2025010702900969","02002","Change in substantial holding","HPI","2025-01-07"
"2025010702901070","02002","Change in substantial holding","GOW","2025-01-07"
"2025010702901072","02002","Change in substantial holding","CMB","2025-01-07"
"2025010702901109","02002","Change in substantial holding","HLX","2025-01-07"
"2025010702901111","02001","Becoming substantial holder","PER","2025-01-07"
"2025010702901148","02001","Becoming substantial holder","WGX","2025-01-07"
"2025010702901199","02003","Ceasing to be substantial holder","AHN","2025-01-07"
"2025010702901223","03002","Top 20 shareholders","PUR","2025-01-07"
"2025010702901246","02003","Ceasing to be substantial holder","KAR","2025-01-07"
"2025010702901248","02001","Becoming substantial holder","PRN","2025-01-07"
"2025010702901267","02003","Ceasing to be substantial holder","C7A","2025-01-07"
"2025010702901278","03002","Top 20 shareholders","ANX","2025-01-07"
"2025010702901285","02002","Change in substantial holding","PEK","2025-01-07"
"2025010702901289","02002","Change in substantial holding","JLG","2025-01-07"
"2025010802901321","02001","Becoming substantial holder","CY5","2025-01-08"
"2025010802901326","02002","Change in substantial holding","TSO","2025-01-08"
"2025010802901410","03002","Top 20 shareholders","PGY","2025-01-08"
"2025010802901425","02003","Ceasing to be substantial holder","AIM","2025-01-08"
"2025010802901480","02001","Becoming substantial holder","C7A","2025-01-08"
"2025010802901516","02001","Becoming substantial holder","MTM","2025-01-08"
"2025010802901528","02002","Change in substantial holding","JNO","2025-01-08"
"2025010802901533","02001","Becoming substantial holder","JNO","2025-01-08"
"2025010802901540","02002","Change in substantial holding","ARC","2025-01-08"
"2025010802901541","02001","Becoming substantial holder","CNU","2025-01-08"
"2025010802901543","02001","Becoming substantial holder","DEG","2025-01-08"
"2025010802901544","02001","Becoming substantial holder","SDR","2025-01-08"
"2025010802901574","02002","Change in substantial holding","ECL","2025-01-08"
"2025010802901582","02001","Becoming substantial holder","LYC","2025-01-08"
"2025010802901594","02001","Becoming substantial holder","BGL","2025-01-08"
"2025010802901597","02002","Change in substantial holding","IEL","2025-01-08"
"2025010802901598","02003","Ceasing to be substantial holder","CTT","2025-01-08"
"2025010802901633","02001","Becoming substantial holder","OZM","2025-01-08"
