Filename,RepType Code,Description,Ticker,Date
2025051202945676,02001,Becoming substantial holder,HCF,2025-05-12
2025051202945680,02003,Ceasing to be substantial holder,ABE,2025-05-12
2025051202945697,02002,Change in substantial holding,IME,2025-05-12
2025051202945699,02002,Change in substantial holding,EQN,2025-05-12
2025051202945713,02002,Change in substantial holding,SDR,2025-05-12
2025051202945774,02002,Change in substantial holding,CLE,2025-05-12
2025051202945788,02003,Ceasing to be substantial holder,CKF,2025-05-12
2025051202945789,02001,Becoming substantial holder,LOV,2025-05-12
2025051202945791,02002,Change in substantial holding,RRL,2025-05-12
2025051202945792,02002,Change in substantial holding,ZIP,2025-05-12
2025051202945795,02003,Ceasing to be substantial holder,AZJ,2025-05-12
