"Filename","RepType Code","Description","Ticker","Date"
"2024013102767200","02002","Change in substantial holding","URF","2024-01-31"
"2024013102767203","02003","Ceasing to be substantial holder","ALX","2024-01-31"
"2024013102767214","02002","Change in substantial holding","CUV","2024-01-31"
"2024013102767248","02002","Change in substantial holding","WSP","2024-01-31"
"2024013102767562","02002","Change in substantial holding","AKO","2024-01-31"
"2024013102767605","02002","Change in substantial holding","FND","2024-01-31"
"2024013102767614","02002","Change in substantial holding","NHE","2024-01-31"
"2024013102767616","02002","Change in substantial holding","NHE","2024-01-31"
"2024013102767708","02002","Change in substantial holding","SDR","2024-01-31"
"2024013102767722","02001","Becoming substantial holder","IPB","2024-01-31"
"2024013102767745","02002","Change in substantial holding","LAU","2024-01-31"
"2024013102767762","02002","Change in substantial holding","HCH","2024-01-31"
"2024013102767788","02002","Change in substantial holding","KAM","2024-01-31"
"2024013102767898","02002","Change in substantial holding","RXM","2024-01-31"
"2024013102767903","02002","Change in substantial holding","TOE","2024-01-31"
"2024013102767913","03002","Top 20 shareholders","BEE","2024-01-31"
"2024013102767927","02001","Becoming substantial holder","RB6","2024-01-31"
"2024013102767935","02001","Becoming substantial holder","SIG","2024-01-31"
"2024013102767936","02002","Change in substantial holding","SRX","2024-01-31"
"2024013102767960","02003","Ceasing to be substantial holder","SIG","2024-01-31"
"2024013102768002","02001","Becoming substantial holder","G1A","2024-01-31"
"2024013102768022","02002","Change in substantial holding","BOE","2024-01-31"
"2024013102768029","02003","Ceasing to be substantial holder","IPL","2024-01-31"
"2024013102768038","02003","Ceasing to be substantial holder","ORA","2024-01-31"
"2024013102768043","02003","Ceasing to be substantial holder","SIQ","2024-01-31"
"2024013102768083","02001","Becoming substantial holder","LNK","2024-01-31"
"2024013102768130","02001","Becoming substantial holder","TIE","2024-01-31"
"2024020102768286","02002","Change in substantial holding","PIM","2024-02-01"
"2024020102768521","02003","Ceasing to be substantial holder","RCR","2024-02-01"
"2024020202768626","02003","Ceasing to be substantial holder","TOE","2024-02-02"
"2024020202768680","02001","Becoming substantial holder","CGC","2024-02-02"
