id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
477,CLAUDIA WALTERS,RDX,2024-02-06,new,,7.97
478,JWT HOLDINGS,HCL,2024-02-21,new,,5.08
479,AWARE SUPER,VNT,2024-02-22,new,,5.01
480,AWARE SUPER,VNT,2024-02-28,cease,5.01,5.0
481,AWARE SUPER,VNT,2024-02-29,new,5.0,5.04
482,AWARE SUPER,VNT,2024-03-22,cease,5.04,5.0
483,AWARE SUPER,VNT,2024-03-28,new,5.0,5.08
484,AWARE SUPER,VNT,2024-09-06,cease,5.08,5.0
485,AWARE SUPER,VNT,2024-12-18,new,5.0,5.27
486,FIL,RWC,2024-02-27,new,,5.51
487,FIL,3DA,2024-04-09,new,,5.6
488,FIL,3DA,2024-09-25,change,5.6,7.45
489,FIL,RDX,2024-09-13,new,,5.01
490,FIL,RDX,2025-03-06,change,5.01,6.43
491,JON EDWARDS,REM,2024-02-28,new,,5.83
492,JON EDWARDS,REM,2024-03-12,change,5.83,8.34
493,STATE STREET CORPORATION,RWC,2024-02-08,cease,,5.0
494,STATE STREET CORPORATION,RWC,2024-02-13,cease,5.0,5.0
495,STATE STREET CORPORATION,RWC,2024-02-26,cease,5.0,5.0
496,STATE STREET CORPORATION,RWC,2024-02-28,new,5.0,5.05
497,STATE STREET CORPORATION,RWC,2024-03-04,cease,5.05,5.0
498,STATE STREET CORPORATION,RWC,2024-03-06,new,5.0,5.15
499,STATE STREET CORPORATION,RWC,2024-03-07,cease,5.15,5.0
500,STATE STREET CORPORATION,RWC,2024-03-28,new,5.0,5.0
501,STATE STREET CORPORATION,RWC,2024-04-02,new,5.0,5.0
503,STATE STREET CORPORATION,RWC,2024-04-08,cease,5.0,5.0
504,STATE STREET CORPORATION,RWC,2024-04-16,new,5.0,5.07
505,STATE STREET CORPORATION,RWC,2024-05-23,cease,5.07,5.0
506,STATE STREET CORPORATION,RWC,2024-08-06,new,5.0,5.03
507,STATE STREET CORPORATION,RWC,2024-11-11,change,5.03,6.04
508,STATE STREET CORPORATION,VNT,2024-03-13,new,,5.26
509,STATE STREET CORPORATION,VNT,2024-03-15,cease,5.26,5.0
510,STATE STREET CORPORATION,VNT,2024-03-19,new,5.0,5.12
511,STATE STREET CORPORATION,VNT,2024-04-23,cease,5.12,5.0
512,STATE STREET CORPORATION,VNT,2024-04-24,new,5.0,5.65
