Information from Scraping ,,,,,,Information from new Method,,,,,
Name,Last Notice,Total Shares,Shares Held (%),Ticker,,,,,,,
Robert John Keith Shepherd,27/09/2024,15740443,6.61,14D,,,,,,,
Kevin Moriarity,27/09/2024,16237916,6.82,14D,,,,,,,
Lind Global Fund II LP,9/12/2024,17291801,6.22,14D,,14D,"LIND GLOBAL FUND II LP (""LGF II"") AND THE LIND PARTNERS LLC (TOGETHER ""LIND"")",12/12/2024,change,17291801,6.22
,,,,,,,,,,,
Perennial Value Management Limited,15/01/2025,26251524,8.55,ACF,,ACF,PERENNIAL VALUE MANAGEMENT LIMITED (PVM),17/01/2025,change,26251524,835
,,,,,,,,,,,
Kerogen Investments No.1 (HK) Ltd,31/07/2024,779888166,56.67,AJL,,,,,,,
,,,,,,,,,,,
Paul Torrance,20/08/2024,140026003,48.9,AAL,,AAL,PAUL TORRANCE,4/07/2024,new,141466003,49.36
Salter Brothers Emerging Companies Limited,20/08/2024,25243038,8.8,AAL,,AAL,SALTER BROTHERS EMERGING COMPANIES LIMITED,5/07/2024,new,22850000,7.9
HSBC Custody Nominees (Australia) Limited,20/08/2024,18135466,6.3,AAL,,,,,,,
MA Financial Group Limited,6/02/2025,23556113,8.22,AAL,,AAL,MA FINANCIAL GROUP LIMITED,7/02/2025,change,23556113,8.22
,,,,,,,,,,,
HSBC Custody Nominees (Australia) Limited,30/08/2024,33066586,6.09,3DA,,,,,,,
Pegasus Growth Capital Fund I LP,17/02/2025,192124968,28.1,3DA,,3DA,PEGASUS GROWTH CAPITAL FUND I LP,19/02/2025,change,192124968,28.1
Industry Super Holdings Pty. Ltd,17/02/2025,36406926,5.32,3DA,,3DA,INDUSTRY SUPER HOLDINGS PTY. LTD.,18/02/2025,new,36406926,5.32
Host Plus Pty Limited,17/02/2025,36406926,5.32,3DA,,3DA,HOST-PLUS PTY LIMITED,21/02/2025,new,36406926,5.32
FIL Limited and the entities,18/09/2024,44656957,7.45,3DA,,3DA,FIL LIMITED,25/09/2024,change,44656957,7.45
,,,,,,,,,,,
Andrew Michael Clayton Sales,16/09/2024,26207707,6.91,AL3,,,,,,,
Regal Funds Management Pty Ltd,24/12/2024,29638913,5.51,AL3,,AL3,REGAL FUNDS MANAGEMENT PTY LTD AND ITS ASSOCIATES,30/12/2024,new,29638913,5.51
,,,,,,,,,,,
Barthen Beheer BV,21/08/2024,22000000,6.07,A3D,,,,,,,
,,,,,,,,,,,
