ticker,shareholder_name,event_date,source,Latest_Holdings,Latest_Percentage
14D,"LIND GLOBAL FUND II LP (""LGF II"") AND THE LIND PARTNERS LLC (TOGETHER ""LIND"")",12/12/2024,change,17291801,6.22
3DA,PEGASUS GROWTH CAPITAL FUND I LP,19/02/2025,change,192124968,28.1
3DA,FIL LIMITED,25/09/2024,change,44656957,7.45
3DA,INDUSTRY SUPER HOLDINGS PTY. LTD.,18/02/2025,new,36406926,5.32
3DA,HOST-PLUS PTY LIMITED,21/02/2025,new,36406926,5.32
AAL,MA FINANCIAL GROUP LIMITED,7/02/2025,change,23556113,8.22
AAL,SALTER BROTHERS EMERGING COMPANIES LIMITED,5/07/2024,new,22850000,7.9
AAL,PAUL TORRANCE,4/07/2024,new,141466003,49.36
ACF,PERENNIAL VALUE MANAGEMENT LIMITED (PVM),17/01/2025,change,26251524,835
AL3,REGAL FUNDS MANAGEMENT PTY LTD AND ITS ASSOCIATES,30/12/2024,new,29638913,5.51
ANG,MITSUBISHI UFJ FINANCIAL GROUP INC,17/06/2024,cease,,
ANG,DAVID SINGLETON AND JILL SINGLETON,10/09/2024,new,32827908,5.3028
ANG,THORNEY INTERNATIONAL PTY LTD,12/09/2024,change,119666843,19.33
ANG,THORNEY OPPORTUNITIES LTD,12/09/2024,change,119666843,19.33
ANG,WILSON ASSET MANAGEMENT GROUP,12/03/2025,change,63449488,10.23
ANG,['SUPERANNUATION AND INVESTMENTS HOLDCO PTY LTD'],16/04/2024,cease,,
ANG,['COMMONWEALTH BANK OF AUSTRALIA',16/04/2024,cease,,
ANG,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,11/03/2024,cease,,
ANG,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED,14/06/2024,cease,,
ASB,[COPIA INVESTMENT PARTNERS LTD,14/02/2025,cease,,
ASB,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,21/03/2025,cease,,
ASB,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 4 TO THIS FORM,24/03/2025,cease,,
ASB,STATE STREET CORPORATION,20/03/2025,new,21273225,5.11
BMH,MUTUAL STREET PTY LTD,22/04/2025,new,12707614,8.78
BMH,IDA PRATIGNJO LAU,22/11/2024,new,11807256,8.16
BMH,KREO CAPITAL MANAGEMENT PTE LTD,21/11/2024,cease,,
BOL,PHOENIX PORTFOLIOS PTY LTD,25/02/2025,new,2203337,5.32
BOL,COLLINS ST ASSET MANAGEMENT ATF COLLINS ST VALUE FUND,23/07/2024,change,64054743,15.28
BPP,CUMULUS WEALTH,4/06/2024,change,257496960,10.3
BPP,MR GEOFFREY FREDERICK LORD,22/05/2024,change,676356354,27.05
CVL,JAMES FINBARR FITZGERALD AND OLIVE THERESA FITZGERALD AS TRUSTEES FOR THE JF AND OT FITZGERALD FAMILY TRUST,13/09/2024,new,97720806,19.25
CVL,PATRICK JOHN TALLON AND ASSOCIATES,13/09/2024,new,97620806,19.23
CYG,VIBURNUM FUNDS PTY LTD,20/05/2024,change,30403284,27.54
CYG,RICHMOND HILL CAPITAL PTY LTD,30/04/2025,change,23442214,19.65
DDB,[MARK DAVIS,2/09/2024,cease,,
