ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
14D,2025-05-05,5180022,1.147,0.018,0.018,0.018,0.018,0.018,181000,0.021,0.039,0.085,0.017,221650.0,247752.0,178949.0
14D,2025-05-06,5180022,1.147,0.018,0.02,0.018,0.018,0.018,259267,0.021,0.039,0.084,0.017,227669.0,235961.0,180028.0
14D,2025-05-07,5180022,1.147,0.018,0.019,0.017,0.017,0.017,452830,0.02,0.039,0.083,0.017,220392.0,240567.0,182208.0
14D,2025-05-08,5180022,1.147,0.016,0.018,0.016,0.017,0.017,274040,0.02,0.038,0.082,0.017,228748.0,239064.0,183495.0
14D,2025-05-09,5180022,1.147,0.017,0.018,0.017,0.018,0.018,178215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1CG,2025-05-05,9423041,-0.726,0.007,0.007,0.007,0.007,0.007,1902023,0.009,0.01,0.017,0.007,461389.0,579883.0,916723.0
1CG,2025-05-06,9423041,-0.726,0.007,0.007,0.006,0.006,0.006,5843927,0.008,0.01,0.017,0.006,878813.0,694882.0,942703.0
1CG,2025-05-07,9423041,-0.726,0.006,0.007,0.006,0.007,0.007,2109954,0.008,0.01,0.017,0.006,1023570.0,698752.0,953068.0
1CG,2025-05-08,9423041,-0.726,0.007,0.008,0.007,0.007,0.007,854428,0.008,0.01,0.017,0.006,1072100.0,711762.0,955008.0
1CG,2025-05-09,9423041,-0.726,0.007,0.007,0.006,0.007,0.007,8915747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3DA,2025-05-05,200189904,1.026,0.25,0.27,0.25,0.26,0.26,625599,0.263,0.322,0.48,0.205,440485.0,607568.0,495755.0
3DA,2025-05-06,200189904,1.026,0.255,0.255,0.25,0.255,0.255,24365,0.263,0.322,0.48,0.205,406381.0,607318.0,494610.0
3DA,2025-05-07,200189904,1.026,0.25,0.26,0.245,0.26,0.26,767098,0.263,0.321,0.465,0.205,404059.0,619994.0,496463.0
3DA,2025-05-08,200189904,1.026,0.245,0.265,0.245,0.265,0.265,248504,0.263,0.32,0.465,0.205,409349.0,599701.0,496764.0
3DA,2025-05-09,200189904,1.026,0.265,0.285,0.26,0.285,0.285,465620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3D,2025-05-05,18388132,0.423,0.061,0.061,0.058,0.058,0.058,458868,0.062,0.067,0.11,0.038,380888.0,485095.0,757270.0
A3D,2025-05-06,18388132,0.423,0.06,0.062,0.059,0.059,0.059,239863,0.062,0.066,0.11,0.038,396608.0,472397.0,748889.0
A3D,2025-05-07,18388132,0.423,0.059,0.059,0.058,0.058,0.058,99126,0.061,0.066,0.11,0.042,400071.0,459382.0,741238.0
A3D,2025-05-08,18388132,0.423,0.06,0.06,0.055,0.058,0.058,650440,0.061,0.066,0.11,0.043,409620.0,466282.0,736724.0
A3D,2025-05-09,18388132,0.423,0.056,0.056,0.053,0.055,0.055,157011,0.061,0.066,0.11,0.05,415554.0,432682.0,733608.0
AAL,2025-05-05,101738736,0.0,0.375,0.4,0.375,0.38,0.38,50922,0.394,0.333,0.0,0.0,67642.0,80610.3,136781.0
AAL,2025-05-06,101738736,0.0,0.38,0.39,0.38,0.39,0.39,27934,0.394,0.333,0.0,0.0,64423.0,79145.8,135413.0
