id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
5002,STATE STREET CORPORATION,BOE,2025-05-09,change,14.85,12.16
5364,STATE STREET CORPORATION,PDN,2025-05-09,change,11.01,8.8
5690,STATE STREET CORPORATION,BPT,2025-05-09,cease,5.441,4.9
8133,CITIGROUP GLOBAL MARKETS AUSTRALIA,BOE,2025-05-06,change,6.6696,5.6293
8397,EUREE ASSET MANAGEMENT,VEN,2025-05-06,new,,7.97
12734,KINETIC DEVELOPMENT GROUP,MCM,2025-05-05,change,27.6,30.51
12882,HEATHER BEARDSALL,JPR,2025-05-08,new,,19.89
13799,BIDDLE PARTNERS,GRV,2025-05-09,change,11.3,10.1
14966,DENDOCEPT GROUP,MCM,2025-05-05,change,66.24,67.6
15537,WEIGHBRIDGE TRUST,JPR,2025-05-08,cease,,4.9
