id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
4369,UBS GROUP AG,SPR,2025-05-05,new,,5.08
4370,UBS GROUP AG,SPR,2025-05-06,cease,5.08,4.9
5205,STATE STREET CORPORATION,RRL,2025-05-05,change,7.25,5.9
5206,STATE STREET CORPORATION,RRL,2025-05-07,change,5.9,7.37
5207,STATE STREET CORPORATION,RRL,2025-05-09,change,7.371,6.25
6007,STATE STREET CORPORATION,SPR,2025-05-07,change,5.561,6.79
6008,STATE STREET CORPORATION,SPR,2025-05-09,change,6.79,5.15
6154,STATE STREET CORPORATION,NST,2025-05-08,change,10.72,8.05
7002,MITSUBISHI UFJ FINANCIAL GROUP,ELT,2025-05-09,new,6.13,5.14
7602,BLACKROCK GROUP,NST,2025-05-08,change,11.33,10.24
7720,REGAL FUNDS MANAGEMENT,WTM,2025-05-09,change,6.79,5.45
8140,CITIGROUP GLOBAL MARKETS AUSTRALIA,RXL,2025-05-05,new,,5.8969
8396,EUREE ASSET MANAGEMENT,G6M,2025-05-05,new,,10.14
9110,PINNACLE INVESTMENT MANAGEMENT GROUP,PRN,2025-05-06,new,,5.01
9766,VAN ECK ASSOCIATES CORPORATION,RSG,2025-05-09,change,8.13,7.12
9791,VAN ECK ASSOCIATES CORPORATION,CMM,2025-05-09,change,8.18,7.17
9807,VAN ECK ASSOCIATES CORPORATION,VAU,2025-05-05,change,8.29,7.28
9874,PARANOID ENTERPRISES,FRS,2025-05-08,change,8.4,10.0
10091,COPIA INVESTMENT PARTNERS,AZY,2025-05-09,change,5.19,6.21
10092,COPIA INVESTMENT PARTNERS,GT1,2025-05-05,new,,5.26
10137,SAMUEL TERRY,MI6,2025-05-08,change,5.59,7.36
10168,THE BANK OF NOVA SCOTIA,BRX,2025-05-07,cease,5.19,4.9
10200,LLB SWISS INVESTMENT AG ON BEHALF OF PRECIOUS CAPITAL GLOBAL MINING AND METALS FUND,AS2,2025-05-05,change,7.99,9.62
10690,NORGES BANK,MIN,2025-05-05,new,5.12,4.9
10692,NORGES BANK,MIN,2025-05-06,new,4.9,5.45
10693,NORGES BANK,MIN,2025-05-09,cease,5.45,4.9
11363,DIMENSIONAL ENTITIES,RMS,2025-05-07,cease,,4.9
11754,DATT CAPITAL,KNB,2025-05-05,change,12.81,14.83
11806,CREMORNE CAPITAL AS THE RE FOR LOWELL RESOURCES FUND,DES,2025-05-09,new,,5.22
11944,TIMOTHY R B GOYDER,LSA,2025-05-06,change,7.34,8.56
11992,NOKOMIS CAPITAL,NXM,2025-05-08,new,,8.28
12157,TORONGA,L1M,2025-05-09,change,15.25,16.45
12388,RUFFER,TSO,2025-05-05,change,6.12,7.32
12616,LATAM RESOURCES,GLN,2025-05-06,cease,5.22,4.9
12672,VELROSSO,MRL,2025-05-05,change,6.73,7.75
12706,HALTERN,FRS,2025-05-08,change,9.1,9.87
12879,TASMANIA DEVELOPMENT AND RESOURCES,G6M,2025-05-06,new,,11.96
13452,TADAO TSUBATA BLUE RIDGE INTERACTIVE TIGER TEN INVESTMENTS,DME,2025-05-09,change,12.1,11.37
13658,TRINEX MINERALS,TX3,2025-05-08,change,8.75,5.18
13693,POSCO HOLDINGS,BKT,2025-05-07,change,10.07,8.58
13964,MDF GLOBAL,FXG,2025-05-09,change,16.43,12.62
14254,ANTHONY BILLIS AND THE PERSONS LISTED IN THE ANNEXURE GROUP,RIM,2025-05-05,change,7.7,6.51
14362,WYTHENSHAWE,STN,2025-05-06,change,10.47,8.19
14846,SANJAY KUMAR LOYALKA,CTN,2025-05-08,cease,6.55,4.9
14855,RB INVESTMENTS,CTN,2025-05-08,change,18.76,12.87
14948,ELPHINSTONE GROUP,G6M,2025-05-05,change,6.6,16.13
14964,CHRISTOPHER ELLIS,G6M,2025-05-05,change,14.42,25.99
14969,ST IVES GOLD MINING COMPANY,HMG,2025-05-07,change,14.2,17.85
14970,D.A.C.H.S. CAPITAL AG,G6M,2025-05-07,change,9.51,5.9
14971,NEBARI GOLD FUND 1 LP,NVA,2025-05-07,change,11.866,10.8483
15203,I'M UNABLE TO EXTRACT TEXT DIRECTLY FROM IMAGES. HOWEVER,DVP,2025-05-05,cease,,4.9
