id,shareholder,ticker,event_date,event_type,prev_voting_power,post_voting_power
5940,STATE STREET CORPORATION,SDR,2025-05-09,new,4.9,5.07
6491,JPMORGAN CHASE CO AND ITS AFFILIATES,MP1,2025-05-07,cease,5.15,4.9
10546,REALWISE GROUP HOLDINGS,VNL,2025-05-05,change,37.3,39.1
12769,STATE STREET AUSTRALIA ACF AUSTRALIAN ETHICAL INVESTMENT,NXL,2025-05-09,change,5.1,6.1
12876,ALITON,OAK,2025-05-05,new,,5.04
12877,EMIRENE,CXZ,2025-05-05,new,,5.01
12880,YEE MEI GHO,IS3,2025-05-07,new,,6.79
12881,LONG PATH PARTNERS AND LONG PATH SMALLER COMPANIES MASTER FUND,HSN,2025-05-08,new,,5.01
14965,SECOND LAGOON,CXZ,2025-05-05,change,5.2,7.33
14972,CAMAC FUND,BVS,2025-05-08,change,5.02,5.03
