Date,Name,Bought,Previous %,New %,Ticker
01-11-24,Shezad Okhai,100851879,--,22.50,BVS
16-04-25,ECP Asset Management Pty Ltd,17257970,--,5.22,NXL
10-04-25,UBS Group AG and its related bodies corporate,3927562,5.13,6.32,NXL
02-04-25,State Street Australia Ltd,16875771,--,5.10,NXL
26-03-25,UBS Group AG and its related bodies corporate,16967008,--,5.13,NXL
17-10-24,FIL Limited,2649785,8.51,9.62,VGL
04-10-24,FIL Limited,2533797,7.49,8.51,VGL
05-07-24,FirstCape Group Limited,3393029,5.21,6.64,VGL
27-05-24,Admetus Capital Limited,3505000,18.46,19.93,VGL
27-05-24,Admetus Capital Limited,43865474,--,18.46,VGL
27-05-24,Harbour Asset Management Limited,12154227,--,5.11,VGL
23-05-24,FirstCape Group Limited,12386585,--,5.21,VGL
16-05-24,Wilson Asset Management Group,12392024,--,5.21,VGL
02-05-24,Pinnacle Investment Management Group Limited,12062956,--,5.08,VGL
18-03-25,Selector Funds Management Limited,3451164,7.31,8.33,FCL
16-09-24,AMP Limited,3606476,5.27,6.33,FCL
23-08-24,ECP Asset Management Pty Ltd,3584691,8.28,9.34,FCL
26-04-24,Regal Funds Management Pty Ltd,19091775,--,5.64,FCL
26-04-24,Selector Funds Management Limited,5712963,5.63,7.31,FCL
27-03-25,Perennial Value Management Limited,11124559,--,5.01,RUL
30-12-24,Perennial Value Management Limited,11098126,--,5.01,RUL
30-08-24,Norges Bank,2521136,5.01,6.22,RUL
31-05-24,Norges Bank,11197901,--,5.01,RUL
25-03-25,Cooper Investors Pty Limited,5031383,5.02,6.31,IFM
11-02-25,Cooper Investors Pty Limited,18857577,--,5.02,IFM
14-11-24,Viburnum Funds Pty Ltd,1358901,7.84,8.20,IFM
16-10-24,Perpetual Limited and subsidiaries,4465817,8.31,9.50,IFM
15-10-24,Perpetual Limited and subsidiaries,5812102,6.77,8.31,IFM
08-08-24,Vanguard Group,18805756,--,5.00,IFM
30-09-24,Pinnacle Investment Management Group Limited,60556721,--,5.00,QOR
04-04-25,Raphael Kain,800000,5.26,6.40,DSE
02-04-25,Morgan Stanley and its subsidiaries,759882,6.51,7.51,DSE
02-04-25,Mitsubishi UFJ Financial Group Inc.,759882,6.51,7.51,DSE
24-03-25,UBS Group AG and its related bodies corporate,784431,5.38,6.50,DSE
21-03-25,Mitsubishi UFJ Financial Group Inc.,753010,5.43,6.51,DSE
21-03-25,Morgan Stanley and its subsidiaries,753010,5.43,6.51,DSE
20-03-25,UBS Group AG and its related bodies corporate,3779244,--,5.38,DSE
11-03-25,Raphael Kain,3698698,--,5.26,DSE
11-03-25,Morgan Stanley and its subsidiaries,3817374,--,5.43,DSE
11-03-25,The Goldman Sachs Group Inc.,997583,5.01,6.43,DSE
11-03-25,Mitsubishi UFJ Financial Group Inc.,3817374,--,5.43,DSE
06-03-25,The Goldman Sachs Group Inc.,3520329,--,5.01,DSE
14-05-24,Topline Capital Partners LP,9551696,29.70,31.00,DSE
05-11-24,FirstCape Group Limited,1413250,12.27,13.30,SKO
04-11-24,Harbour Asset Management Limited,1319257,11.81,12.82,SKO
17-05-24,FirstCape Group Limited,1248626,11.25,12.27,SKO
30-04-24,FirstCape Group Limited,13704363,--,11.25,SKO
11-04-25,Wilson Asset Management Group,2038627,--,6.51,EOL
15-10-24,BW South Asia Ltd,399701,9.60,10.83,EOL
19-06-24,BW South Asia Ltd,1086219,6.33,9.60,EOL
13-06-24,BW South Asia Ltd,1903676,--,6.33,EOL
28-02-25,Pinnacle Investment Management Group Limited,24115830,--,5.05,PPS
28-02-25,Spheria Asset Management Pty Ltd,4530611,6.12,7.14,PPS
12-06-24,Spheria Asset Management Pty Ltd,4669420,5.11,6.12,PPS
05-03-25,Shan Kanji,5483319,56.12,57.42,ATA
23-12-24,Shan Kanji,37762627,51.41,56.12,ATA
21-11-24,Shan Kanji,2000000,55.60,51.41,ATA
27-08-24,Microequities Asset Management Pty Ltd,3850748,6.27,7.50,ATA
26-06-24,Richmond Hill Capital Pty Ltd,9548988,7.11,8.34,ATA
09-04-25,Investors Mutual Limited,6261458,--,5.13,RDY
27-03-25,llwella Pty Ltd,38000,6.60,5.54,FND
27-03-25,Norfolk Enchants Pty Ltd,22500,13.32,11.05,FND
30-12-24,Jack Yetiv,484941,5.78,6.73,FND
26-07-24,Jack Yetiv,2820059,--,5.78,FND
01-04-25,Mitsubishi UFJ Financial Group Inc,13460523,--,5.09,APX
01-04-25,First Sentier Investors Holdings Pty Limited,13460523,--,5.09,APX
25-03-25,Mitsubishi UFJ Financial Group Inc,13317986,--,5.04,APX
25-03-25,First Sentier Investors Holdings Pty Limited,13317986,--,5.04,APX
28-02-25,UBS Group AG and its related bodies corporate,14049483,--,5.38,APX
20-02-25,UBS Group AG and its related bodies corporate,13617047,--,5.21,APX
19-02-25,State Street Corporation and subsidiaries,13078359,--,5.01,APX
12-02-25,Mitsubishi UFJ Financial Group Inc,13558925,--,5.19,APX
12-02-25,First Sentier Investors Holdings Pty Limited,13558925,--,5.19,APX
04-02-25,UBS Group AG and its related bodies corporate,13473568,--,5.17,APX
03-01-25,Mitsubishi UFJ Financial Group Inc,13169849,--,5.05,APX
12-11-24,First Sentier Investors Holdings Pty Limited,13773603,--,5.28,APX
12-11-24,Mitsubishi UFJ Financial Group Inc,13773603,--,5.28,APX
23-09-24,First Sentier Investors Holdings Pty Limited,11225700,--,5.03,APX
23-09-24,Mitsubishi UFJ Financial Group Inc,11225700,--,5.03,APX
10-09-24,First Sentier Investors Holdings Pty Limited,11176893,--,5.01,APX
10-09-24,Mitsubishi UFJ Financial Group Inc,11176893,--,5.01,APX
24-09-24,A22 Pty Ltd,24116414,6.12,--,EIQ
31-10-24,Perennial Value Management Limited,3603455,13.74,14.81,DUG
28-10-24,Regal Funds Management Pty Ltd,4182817,14.95,16.31,DUG
17-10-24,Perennial Value Management Limited,2552127,11.58,13.74,DUG
07-10-24,Perennial Value Management Limited,1255573,10.51,11.58,DUG
27-09-24,Perennial Value Management Limited,1570347,9.18,10.51,DUG
19-07-24,Perennial Value Management Limited,1328389,9.71,10.83,DUG
29-05-24,Perennial Value Management Limited,1192847,8.70,9.71,DUG
09-12-24,Ellerston Capital Limited and its associates,8478248,5.24,7.11,ACE
09-12-24,Copia Investment Partners Ltd,6888889,--,5.00,ACE
28-10-24,Songtradr Inc,45730464,19.95,19.70,VNL
28-10-24,Realwise Group Holdings Pl,128507749,31.42,37.30,VNL
10-07-24,Realwise Group Holdings Pl,17378009,34.40,31.42,VNL
02-05-24,Songtradr Inc,77588162,18.23,19.95,VNL
23-08-24,Colin Scully and Valebark Pty Ltd,112000000,15.30,18.30,WRK
18-07-24,Colin Scully and Valebark Pty Ltd,7870745,15.20,15.30,WRK
18-07-24,Donald Sharp and Donald Financial Enterprises Pty Ltd,7870745,15.20,15.30,WRK
05-03-25,Ideagen Limited,44695889,14.93,18.03,EVS
03-03-25,Ideagen Limited,215103040,--,14.93,EVS
04-09-24,HCJI Holdings Co Ltd,158500000,--,11.11,EVS
04-09-24,Hitachi Ltd,158500000,--,11.11,EVS
04-09-24,Hitachi Construction Machinery Co Ltd,158500000,--,11.11,EVS
03-12-24,Regal Funds Management Pty Ltd,3800000,12.99,10.64,DUB
03-12-24,TIGA Trading Pty Ltd,167052612,19.39,22.10,DUB
03-12-24,Thorney technologies Ltd,167052612,19.39,22.10,DUB
13-11-24,Thorney technologies Ltd,47112787,25.90,19.39,DUB
13-11-24,TIGA Trading Pty Ltd,47112787,25.90,19.39,DUB
13-11-24,Regal Funds Management Pty Ltd,180000000,6.65,12.99,DUB
21-10-24,Regal Funds Management Pty Ltd,92212819,--,6.65,DUB
21-10-24,TIGA Trading Pty Ltd,179614055,19.97,25.90,DUB
21-10-24,Thorney technologies Ltd,179614055,19.97,25.90,DUB
10-05-24,TIGA Trading Pty Ltd,56379305,21.56,19.97,DUB
10-05-24,Thorney technologies Ltd,56379305,21.56,19.97,DUB
04-03-25,TIGA Trading Pty Ltd,6026543,15.19,16.37,CCR
04-03-25,Thorney technologies Ltd,6026543,15.19,16.37,CCR
22-10-24,Andrew Smith,562939,6.27,5.14,CCR
15-08-24,Thorney technologies Ltd,6846691,13.58,15.19,CCR
15-08-24,TIGA Trading Pty Ltd,6846691,13.58,15.19,CCR
05-07-24,Perennial Value Management Limited,4370697,5.07,6.12,CCR
23-01-25,Microequities Asset Management Pty Ltd,4569693,5.08,6.14,KYP
16-12-24,Microequities Asset Management Pty Ltd,21952814,--,5.08,KYP
07-03-25,TIGA Trading Pty Ltd,3596720,6.25,8.15,ST1
07-03-25,Thorney Opportunities Ltd,3596720,6.25,8.15,ST1
07-03-25,Thorney technologies Ltd,3596720,6.25,8.15,ST1
04-09-24,263 Finance Pty Limited,115667379,32.35,36.07,ST1
04-09-24,TIGA Trading Pty Ltd,84362373,--,5.24,ST1
04-09-24,Thorney technologies Ltd,84362373,--,5.24,ST1
04-09-24,Thorney Opportunities Ltd,84362373,--,5.24,ST1
09-05-24,Shanahan Freight Holdings Pty Ltd,21158333,6.66,8.65,AV1
09-05-24,Capital Property Corporation Pty Ltd,20833333,11.09,12.68,AV1
25-03-25,Antanas Guoga,12750000,16.34,17.40,DCC
05-03-25,Antanas Guoga,13000000,15.25,16.34,DCC
18-02-25,Antanas Guoga,19841510,13.70,15.25,DCC
05-02-25,Antanas Guoga,47657770,10.83,13.70,DCC
31-12-24,Antanas Guoga,115963830,--,10.83,DCC
07-02-25,Ice Cold Investments Pty Ltd,2250000,12.16,10.86,YOJ
07-10-24,Hub24 Limited,13800841,--,5.02,YOJ
16-12-24,MA Financial Group Limited,1192903,10.64,11.70,RKN
31-05-24,MA Financial Group Limited,5396852,5.88,10.64,RKN
24-03-25,Naos Asset Management Limited,839206,30.22,31.37,UBN
30-08-24,Naos Asset Management Limited,1419539,28.01,30.22,UBN
17-06-24,Naos Asset Management Limited,801799,26.76,28.01,UBN
