Date,Name,Sold,Previous %,New %,Ticker
14-02-25,Stichting Bewaarder GFC,4728102,6.97,5.92,BVS
28-01-25,National Nominees Ltd,24257960,5.41,--,BVS
10-01-25,National Nominees Ltd,4726079,6.46,5.41,BVS
17-12-24,Stichting Bewaarder GFC,2700000,7.57,6.97,BVS
04-12-24,National Nominees Ltd,4762811,7.53,6.46,BVS
21-11-24,National Nominees Ltd,4493409,8.53,7.53,BVS
03-05-24,Spheria Asset Management Pty Ltd,26097124,5.82,--,BVS
15-10-24,National Nominees Ltd,19412813,5.91,--,NXL
20-09-24,National Nominees Ltd,4126189,7.16,5.91,NXL
11-09-24,National Nominees Ltd,2413729,8.17,7.16,NXL
02-09-24,ECP Asset Management Pty Ltd,20670687,6.40,--,NXL
02-07-24,Macquarie Group Limited and its controlled bodies,1328302,30.77,29.76,NXL
31-05-24,AMP Limited and its related bodies corporate,17972843,5.66,--,NXL
31-05-24,ECP Asset Management Pty Ltd,7190312,8.80,6.40,NXL
27-05-24,Wilson Asset Management Group,12392024,5.21,--,VGL
27-05-24,Pinnacle Investment Management Group Limited,12062956,5.08,--,VGL
27-05-24,Spheria Asset Management Pty Ltd,32466361,13.92,--,VGL
10-02-25,Perennial Value Management Limited,11098126,5.01,--,RUL
06-09-24,Perennial Value Management Limited,11494416,5.13,--,RUL
07-05-24,Perennial Value Management Limited,2324537,6.14,5.13,RUL
19-03-25,Perpetual Limited and subsidiaries,4025823,7.07,5.95,IFM
06-03-25,Celeste Funds Management Limited,19029583,5.06,--,IFM
14-11-24,Perpetual Limited and subsidiaries,9156864,9.50,7.07,IFM
24-01-25,Perennial Value Management Limited,17741888,9.18,7.75,QOR
15-10-24,Perennial Value Management Limited,22609999,11.66,9.18,QOR
05-10-24,K1 Investment Management LLC,124038338,10.39,--,QOR
30-09-24,Perennial Value Management Limited,1098030,12.71,11.66,QOR
05-07-24,K1 Investment Management LLC,33838117,13.25,10.39,QOR
28-06-24,K1 Investment Management LLC,11092428,14.40,13.25,QOR
10-04-25,Morgan Stanley and its subsidiaries,838244,7.51,6.33,DSE
10-04-25,Mitsubishi UFJ Financial Group Inc.,838244,7.51,6.33,DSE
28-02-25,Topline Capital Partners LP,6466375,19.70,10.50,DSE
28-01-25,Topline Capital Partners LP,7809907,31.00,19.70,DSE
30-04-24,First NZ Capital Group Limited,11805363,9.69,--,SKO
11-04-25,Vaughan Busby,725289,14.2,11.3,EOL
10-12-24,Microequities Asset Management Pty Ltd,228548,15.2,14.2,RDY
15-10-24,llwella Pty Ltd,478431,7.61,6.60,FND
14-04-25,Mitsubishi UFJ Financial Group Inc,13460523,5.09,--,APX
14-04-25,First Sentier Investors Holdings Pty Limited,13460523,5.09,--,APX
27-03-25,First Sentier Investors Holdings Pty Limited,13317986,5.04,--,APX
27-03-25,Mitsubishi UFJ Financial Group Inc,13317986,5.04,--,APX
04-03-25,First Sentier Investors Holdings Pty Limited,13558925,5.19,--,APX
04-03-25,Mitsubishi UFJ Financial Group Inc,13558925,5.19,--,APX
03-03-25,UBS Group AG and its related bodies corporate,14049483,5.38,--,APX
24-02-25,UBS Group AG and its related bodies corporate,13617047,5.21,--,APX
21-02-25,State Street Corporation and subsidiaries,13078359,5.01,--,APX
11-02-25,UBS Group AG and its related bodies corporate,13473568,5.17,--,APX
16-01-25,Mitsubishi UFJ Financial Group Inc,13169849,5.05,--,APX
27-11-24,First Sentier Investors Holdings Pty Limited,13773603,5.28,--,APX
27-11-24,Mitsubishi UFJ Financial Group Inc,13773603,5.28,--,APX
30-09-24,Mitsubishi UFJ Financial Group Inc,11225700,5.03,--,APX
30-09-24,First Sentier Investors Holdings Pty Limited,11225700,5.03,--,APX
20-09-24,First Sentier Investors Holdings Pty Limited,11176893,5.01,--,APX
20-09-24,Mitsubishi UFJ Financial Group Inc,11176893,5.01,--,APX
24-09-24,A22 Pty Ltd,24116414,6.12,--,EIQ
15-08-24,Perennial Value Management Limited,1948938,10.83,9.18,DUG
14-08-24,TIGA Trading Pty Ltd,6904000,5.84,--,DUG
14-08-24,Thorney technologies Ltd,6904000,5.84,--,DUG
24-12-24,Copia Investment Partners Ltd,6888889,5.00,--,ACE
09-12-24,Ador Powertron Limited,1666667,16.73,14.05,ACE
09-12-24,Jannink & Associates Pty Ltd,1619738,13.34,10.98,ACE
05-09-24,Ellerston Capital Limited and its associates,10044690,7.90,6.28,EVS
05-12-24,Andrew Smith,21604847,5.14,--,CCR
12-09-24,Perennial Value Management Limited,25555245,6.12,--,CCR
22-01-25,National Nominees Ltd,6187138,11.4,10.06,KYP
04-03-25,263 Finance Pty Limited,507351873,36.07,39.01,ST1
07-01-25,TIGA Trading Pty Ltd,72543177,5.24,6.25,ST1
07-01-25,Thorney Opportunities Ltd,72543177,5.24,6.25,ST1
07-01-25,Thorney technologies Ltd,72543177,5.24,6.25,ST1
04-09-24,Crazy Diamond Pty Ltd,85000000,6.22,--,ST1
04-09-24,Elie Ayoub,73985171,5.41,--,ST1
03-09-24,Thorney Opportunities Ltd,52141281,7.84,--,ST1
29-08-24,James Harb,70560862,5.16,--,ST1
05-11-24,Adam Lanes Pty Ltd,43125000,6.51,--,AV1
11-06-24,TIGA Trading Pty Ltd,74771544,8.32,7.30,YOJ
11-06-24,Thorney technologies Ltd,74771544,8.32,7.30,YOJ
31-05-24,Spheria Asset Management Pty Limited,6764271,5.97,--,RKN
31-05-24,Pinnacle Investment Management Group Limited,6764271,5.97,--,RKN
