Name,Last Notice,Total Shares,Shares Held (%),Ticker
Pinetree Capital Ltd,08/08/2024,96884686,21.60,BVS
Camac Fund LP,08/08/2024,22513343,5.02,BVS
Stichting Bewaarder GFC,14/02/2025,26522463,5.92,BVS
Shezad Okhai,01/11/2024,100851879,22.50,BVS
Australian Ethical Investment,30/06/2024,25952731,8.17,NXL
UBS Group AG and its related bodies corporate,10/04/2025,20894570,6.32,NXL
ECP Asset Management Pty Ltd,16/04/2025,17257970,5.22,NXL
Macquarie Group Limited and its controlled bodies,02/07/2024,96306830,29.76,NXL
State Street Australia Ltd,02/04/2025,16875771,5.10,NXL
Admetus Capital Limited,28/02/2025,47370474,19.93,VGL
FIL Limited,28/02/2025,22875531,9.62,VGL
Harbour Asset Management Limited,28/02/2025,15779614,6.64,VGL
Fisher Funds Management Limited,28/02/2025,34805332,14.64,VGL
HSBC Custody Nominees (Australia) Limited,19/02/2025,26412393,7.80,FCL
J P Morgan Nominees Australia Pty Limited,19/02/2025,54934891,16.23,FCL
Jacquel Investments Limited,19/02/2025,170824123,50.46,FCL
BNP Paribas Nominees Pty Ltd,19/02/2025,26134137,7.72,FCL
Selector Funds Management Limited,18/03/2025,28196153,8.33,FCL
Perennial Value Management,30/06/2024,11935135,5.39,RUL
Long Path Partners LP,30/06/2024,13686571,6.18,RUL
Perennial Value Management Limited,27/03/2025,11124559,5.01,RUL
Norges Bank,30/08/2024,13719037,6.22,RUL
Peter Van Der Made,11/02/2025,156805823,7.95,BRN
Yarra Capital Management Limited,16/08/2024,22292033,5.93,IFM
Perpetual Limited and its related bodies corporate,16/08/2024,25429646,6.76,IFM
Vanguard Group,16/08/2024,18805756,5.00,IFM
Viburnum Funds Pty Ltd,14/11/2024,30816719,8.20,IFM
Cooper Investors Pty Limited,25/03/2025,23888960,6.31,IFM
Perpetual Limited and subsidiaries,19/03/2025,22524878,5.95,IFM
Regal Funds Management Pty Limited,26/08/2024,185505000,16.66,QOR
Mccusker Holdings Pty Ltd,26/08/2024,159500000,13.17,QOR
Pinnacle Investment Management Group Limited,30/09/2024,60556721,5.00,QOR
Perennial Value Management Limited,24/01/2025,100835724,7.75,QOR
Morgan Stanley and its subsidiaries,10/04/2025,4492022,6.33,DSE
Mitsubishi UFJ Financial Group Inc.,10/04/2025,4492022,6.33,DSE
UBS Group AG and its related bodies corporate,24/03/2025,4563675,6.50,DSE
The Goldman Sachs Group Inc.,11/03/2025,4517912,6.43,DSE
Topline Capital Partners LP,28/02/2025,7363034,10.50,DSE
Raphael Kain,04/04/2025,4498698,6.40,DSE
Geoffrey Hosking,31/03/2024,10884629,8.93,SKO
Jarden Securities Ltd,31/03/2024,612616,0.50,SKO
Robert Shaw,31/03/2024,9283077,7.62,SKO
Darrin Grafton,31/03/2024,12381170,10.16,SKO
Michael Moore,31/03/2024,9151250,7.51,SKO
Fisher Funds Management Limited,31/03/2024,10636309,8.73,SKO
Harbour Asset Management Limited,04/11/2024,15708004,12.82,SKO
FirstCape Group Limited,05/11/2024,16366239,13.30,SKO
Ian Ferrier,28/08/2024,7315647,23.47,EOL
BW South Asia Ltd,15/10/2024,3389596,10.83,EOL
Vaughan Busby,11/04/2025,3535439,11.28,EOL
Wilson Asset Management Group,11/04/2025,2038627,6.51,EOL
Spheria Asset Management Pty Ltd,28/02/2025,34121183,7.14,PPS
Pinnacle Investment Management Group Limited,28/02/2025,24115830,5.05,PPS
Richmond Hill Capital Pty Ltd,05/08/2024,26091219,8.34,ATA
Shan Kanji,05/03/2025,219155153,57.42,ATA
Microequities Asset Management Pty Ltd,27/08/2024,23469045,7.50,ATA
Pemba Capital Partners Fund I Partnership LP,22/07/2024,34539611,32.35,RDY
Investors Mutual Limited,09/04/2025,6261458,5.13,RDY
Microequities Asset Management Pty Ltd,10/12/2024,17186770,14.15,RDY
llwella Pty Ltd,27/03/2025,3271395,5.54,FND
Jack Yetiv,30/12/2024,3305000,6.73,FND
Norfolk Enchants Pty Ltd,27/03/2025,6522500,11.05,FND
C & J Vonwiller Pty Limited,31/01/2025,8600827,3.30,APX
Steven Formica,20/09/2024,30516667,5.19,EIQ
Matthew Gordon Lamont,15/08/2024,21540654,18.24,DUG
Perennial Value Management Limited,31/10/2024,19828541,14.81,DUG
Regal Funds Management Pty Ltd,28/10/2024,21847329,16.31,DUG
Geoffrey James Lewis,09/08/2024,24903595,14.48,COS
Microequities Asset Management Pty Ltd,09/08/2024,6942949,5.45,COS
Stephen Edward Johnston,09/08/2024,24903595,14.48,COS
Gresham Capital Partners Limited,31/07/2024,10260515,8.12,ACE
Ellerston Capital Limited,31/07/2024,6574275,5.20,ACE
Jannink & Associates Pty Ltd,09/12/2024,15130262,10.98,ACE
Ador Powertron Limited,09/12/2024,19340728,14.05,ACE
Ellerston Capital Limited and its associates,09/12/2024,9793103,7.11,ACE
Realwise Group Holdings Pl,28/10/2024,441311907,37.30,VNL
Songtradr Inc,28/10/2024,233073257,19.70,VNL
GJB Consulting Pty Ltd,23/08/2024,259633868,15.57,WRK
Unlocked Investments Pty Ltd,23/08/2024,259633868,15.57,WRK
Donald Sharp and Donald Financial Enterprises Pty Ltd,23/08/2024,193994860,11.60,WRK
Colin Scully and Valebark Pty Ltd,23/08/2024,305994860,18.30,WRK
Starmay Superannuation Pty Ltd,23/08/2024,186124115,15.20,WRK
Ubs Nominees Pty Ltd,14/08/2024,79656975,6.28,EVS
HSBC Custody Nominees (Australia) Limited,14/08/2024,215022638,16.95,EVS
Ideagen Limited,05/03/2025,259798929,18.03,EVS
Hitachi Construction Machinery Co Ltd,04/09/2024,158500000,11.11,EVS
HCJI Holdings Co Ltd,04/09/2024,158500000,11.11,EVS
Hitachi Ltd,04/09/2024,158500000,11.11,EVS
Ellerston Capital Limited and its associates,05/09/2024,89540719,6.28,EVS
Ubs Nominees Pty Ltd,26/09/2024,175184249,18.92,DUB
Regal Funds Management Pty Ltd,03/12/2024,276012819,10.64,DUB
TIGA Trading Pty Ltd,03/12/2024,573393509,22.10,DUB
Thorney technologies Ltd,03/12/2024,573393509,22.10,DUB
ASJS & Associates Pty Ltd,20/08/2024,24443328,5.85,CCR
Ubs Nominees Pty Ltd,20/08/2024,58157246,13.92,CCR
TIGA Trading Pty Ltd,04/03/2025,69503789,16.37,CCR
Thorney technologies Ltd,04/03/2025,69503789,16.37,CCR
Arena IODM Portfolio Trust,15/08/2024,34845927,5.71,IOD
Jon Birman,19/08/2024,22497811,5.19,KYP
National Nominees Limited,19/08/2024,51738936,11.93,KYP
HSBC Custody Nominees (Australia) Limited,19/08/2024,28672808,6.61,KYP
Microequities Asset Management Pty Ltd,23/01/2025,26522507,6.14,KYP
National Nominees Ltd,02/04/2025,33471258,7.75,KYP
Stephen John Killelea,25/09/2024,52218231,29.44,IRI
Dane Meah,23/09/2024,152173913,9.44,ST1
Simon McKay,23/09/2024,152173913,9.44,ST1
TIGA Trading Pty Ltd,07/03/2025,15415916,8.15,ST1
Thorney Opportunities Ltd,07/03/2025,15415916,8.15,ST1
Thorney technologies Ltd,07/03/2025,15415916,8.15,ST1
263 Finance Pty Limited,04/03/2025,73753441,39.01,ST1
Cartovista Pty Ltd,06/09/2024,85039384,11.33,3DP
Capital Property Corporation Pty Ltd,03/09/2024,99938315,12.68,AV1
MC Management Group Pty Ltd,03/09/2024,69940688,15.94,AV1
Shanahan Freight Holdings Pty Ltd,03/09/2024,68183333,8.65,AV1
BNP PARIBAS NOMINEES PTY LTD ACF CLEARSTREAM,21/08/2024,49879069,5.76,DCC
Antanas Guoga,25/03/2025,209213110,17.40,DCC
BNP Paribas Nominees Pty Ltd,26/09/2024,24982704,9.08,YOJ
Geoffrey Francis Brown,26/09/2024,32550015,11.83,YOJ
Ubs Nominees Pty Ltd,26/09/2024,16780262,6.10,YOJ
Netwealth Investments Limited,26/09/2024,27389377,9.96,YOJ
Ice Cold Investments Pty Ltd,07/02/2025,33950015,10.86,YOJ
Hub24 Limited,07/10/2024,13800841,5.02,YOJ
Microequities Asset Management Pty Ltd,03/03/2025,16142284,14.25,RKN
MA Financial Group Limited,03/03/2025,13250826,11.70,RKN
Australian Ethical Investment Limited,01/08/2024,5151035,8.07,UBN
Argosy Capital Limited,01/08/2024,15376235,23.96,UBN
Jencay Capital Pty Limited,01/08/2024,5720267,8.96,UBN
Naos Asset Management Limited,24/03/2025,20235734,31.37,UBN
