Info Date,Ticker,Company,Sector,Market Cap,Shares Outstanding,Open,Close,Volume,Change (%),1 Month Return (%),3 Month Return (%),6 Month Return (%),12 Month Return (%),3 Year Return (%),5 Year Return (%)
2025-05-02,TOT,360 Capital REIT,Equity Real Estate Investment Trusts (REITs),81710795.72,216452439.0,0.375,0.3775,39023.0,0.67,-0.66,-3.21,-13.22,-9.04,-58.52,-56.14
2025-05-02,4DX,4DMEDICAL Ltd,Health Care Equipment & Services,137417919.88,450550557.0,0.295,0.305,630030.0,3.39,17.31,-44.04,-42.99,-50.81,-58.22,
2025-05-02,14D,1414 Degrees Ltd,Capital Goods,5180022.32,287779018.0,0.019,0.018,270384.0,-5.26,-14.29,-33.33,-64.0,-78.57,-77.29,-85.1
2025-05-02,4DS,4DS Memory Ltd,Semiconductors & Semiconductor Equipment,62072030.3,2002323558.0,0.031,0.031,1651437.0,0.0,3.33,-6.06,-64.77,-62.65,-69.0,-29.55
2025-05-02,29M,29METALS Ltd,Materials,157652627.03,1370892409.0,0.115,0.115,900631.0,0.0,-25.81,-51.06,-68.82,-74.63,-95.1,
2025-05-02,T3D,333D Ltd,Commercial & Professional Services,1233284.34,176183477.0,0.007,0.007,0.0,0.0,40.0,-36.36,-30.0,16.67,-90.67,-76.67
2025-05-02,TDO,3D Energi Ltd,Energy,32013461.28,333473555.0,0.096,0.096,100086.0,0.0,-12.73,12.94,39.13,60.0,62.71,68.42
2025-05-02,TCF,360 Capital Mortgage REIT,Not Applic,37071320.22,6240963.0,6.0,5.94,17148.0,-1.0,0.85,1.89,0.85,16.02,3.48,10.0
2025-05-02,3PL,3P Learning Ltd,Consumer Services,170566576.25,272906522.0,0.625,0.625,820.0,0.0,-19.35,-17.76,-36.87,-49.8,-60.32,-16.67
2025-05-02,TGP,360 Capital Group,Financial Services,130719081.36,210837228.0,0.61,0.62,1881.0,1.64,3.33,6.9,-2.75,-3.88,-39.22,-28.74
2025-05-02,5EA,5E Advanced Materials Inc,Materials,11982032.0,14977540.0,0.8,0.8,0.0,0.0,23.08,-48.85,-57.58,-82.61,-99.03,
2025-05-02,ASK,Abacus Storage King,Equity Real Estate Investment Trusts (REITs),1964583928.19,1314102962.0,1.48,1.495,4563467.0,1.01,25.63,28.33,21.54,34.08,,
2025-05-02,AYI,A1 Investments & Resources Ltd,Financial Services,20527433.03,20527433025.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-50.0
2025-05-02,8IH,8I Holdings Ltd,Financial Services,3133447.75,348160861.0,0.009,0.009,0.0,0.0,-10.0,0.0,12.5,-25.0,-92.17,-91.0
2025-05-02,8CO,8COMMON Ltd,Software & Services,4033708.25,224094903.0,0.018,0.018,0.0,0.0,-14.29,-41.94,-40.0,-51.35,-85.0,-70.0
2025-05-02,88E,88 Energy Ltd,Energy,28933811.95,28933811952.0,0.002,0.001,4581699.0,-50.0,-33.33,-50.0,-50.0,-66.67,-92.76,-83.11
2025-05-02,5GN,5G Networks Ltd,Software & Services,41724749.64,298033926.0,0.13,0.14,48634.0,7.69,-3.45,-13.85,0.0,-6.67,-46.15,33.33
