Forum,Tag,Subject,Poster,Comments,Views,Likes,Time
ASX - By Stock,MAY,Re:                                                         Ann: Block 9 Operations Update,avthold04,183,55K,0,15:24
ASX - By Stock,183,55K,0,ASX - By Stock,ORA,Ann: Notification of cessation of securities - ORA,ASX News
ASX - By Stock,0,4,0,ASX - By Stock,ARU,"Re:
                                                        Ann: Tamboran & Arafura sign LOI for future gas supply",NTN750
ASX - By Stock,22,6.8K,0,ASX - By Stock,PNV,"Re:
                                                        Ann: Change in substantial holding",bedger
ASX - By Stock,29,5.7K,0,General,"Re:
                                                        Take a Paws",Justis,42K
ASX - By Stock,WIN,Re:                                                         Ann: WIN advances Butchers Creek development with resource update,ProCapitalism,16,4.6K,0,15:23
ASX - By Stock,16,4.6K,0,Political Debate,"Re:
                                                        Peter Dutton easily won tonight's debate",pintohoo,96
Political Debate,96,7.6K,0,ASX - By Stock,SLZ,"Re:
                                                        Ann: Change in substantial holding",Jimbill
ASX - By Stock,16,1.2K,0,ASX - By Stock,ASN,"Re:
                                                        Ann: Binding Offtake Term Sheet with LG Energy Solution",sharebroker1
ASX - By Stock,479,165K,0,ASX - By Stock,MHC,"Re:
                                                        Info Needed for ASIC Report",Cryptomal31
ASX - By Stock,15,2.0K,0,ASX - By Stock,WDS,"Re:
                                                        Ann: Woodside signs LNG supply agreements with Uniper",CbrMaroon
ASX - By Stock,27,5.0K,0,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",Bomber78,93
ASX - Day Trading,93,9.5K,0,ASX - By Stock,C1X,"Re:
                                                        C1X Chart",iheartprofits
ASX - By Stock,30,4.9K,0,ASX - By Stock,ASM,"Re:
                                                        Relevant Media",bedger
ASX - By Stock,3.8K,1.5M,0,ASX - By Stock,ASN,"Re:
                                                        ASN General Discussion",TabPerkins
ASX - By Stock,28K,8.6M,0,Political Debate,"Re:
                                                        Election result prediction",Wazza3006,37
Political Debate,37,2.3K,0,ASX - By Stock,EFE,"Re:
                                                        EFE Charts",aliscrazy
ASX - By Stock,28,5.1K,0,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",Bomber78,93
ASX - Day Trading,93,9.5K,1,ASX - By Stock,AXE,"Re:
                                                        Ann: Quarterly Activity Report & Appendix 4C",HongKongPhooey
ASX - By Stock,16,3.0K,0,ASX - By Stock,PNV,"Re:
                                                        Ann: Change in substantial holding",Puzzled
ASX - By Stock,29,5.7K,1,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",Klotho,93
ASX - Day Trading,93,9.5K,0,ASX - By Stock,VKA,"Re:
                                                        Ann: VIKING AND TOPDRILL EXECUTE DRILL-FOR-EQUITY AGREEMENT",Microhunter
ASX - By Stock,16,2.8K,0,ASX - By Stock,IVZ,"Re:
                                                        Ann: Musuma-1 selected as high-impact exploration well",Gharp
ASX - By Stock,273,57K,1,ASX - By Stock,IDX,Ann: Change of Registered Office,ASX News
ASX - By Stock,0,18,0,Political Debate,Climate,"Re:
                                                        NO such thing as Climate Change?",Budweiser54
Political Debate,10K,1.2M,1,ASX - By Stock,AVZ,"Re:
                                                        KoBold Makes Offer for Congo Lithium as Country Courts US",Bartag
ASX - By Stock,753,393K,0,ASX - By Stock,NMG,"Re:
                                                        Buy and Sell Query",GMHJB
ASX - By Stock,23,2.0K,0,Charts,VKA,"Re:
                                                        VKA Charting Thread",chartrader
Charts,153,46K,1,ASX - By Stock,WA1,"Re:
                                                        Ann: West Arunta Project - Luni Assay Results",Ragshak
ASX - By Stock,27,5.4K,0,ASX - By Stock,LR3,Ann: Monthly Report - March 2025,ASX News
ASX - By Stock,0,34,0,ASX - By Stock,SPX,"Re:
                                                        Adrian Floate - Missing Person",BarelyWrong
ASX - By Stock,30,5.2K,0,ASX - By Stock,WA1,"Re:
                                                        Ann: West Arunta Project - Luni Assay Results",tradedemon
ASX - By Stock,27,5.4K,0,ASX - By Stock,PNV,"Re:
                                                        Ann: Change in substantial holding",BuffettWarren
ASX - By Stock,29,5.7K,0,ASX - By Stock,FDV,Ann: Notice of 2025 Annual General Meeting,ASX News
ASX - By Stock,0,57,0,ASX - By Stock,MSB,"Re:
                                                        banter and General Discussion",hack63
ASX - By Stock,16K,5.8M,0,ASX - By Stock,DVP,"Re:
                                                        DVP Technical Analysis",canonman
ASX - By Stock,4.3K,1.7M,1,ASX - By Stock,SLZ,"Re:
                                                        Ann: Change in substantial holding",Jimbill
ASX - By Stock,16,1.2K,1,ASX - Day Trading,"Re:
                                                        Afternoon trading April 17",vietnaminvest,93
ASX - Day Trading,93,9.5K,0,ASX - By Stock,NMG,"Re:
                                                        Buy and Sell Query",batfink68
ASX - By Stock,23,2.0K,0,ASX - By Stock,SNT,"Re:
                                                        SNT - General Discussions",Luckyphil1
ASX - By Stock,125,36K,0,ASX - By Stock,ARU,"Re:
                                                        Ann: Tamboran & Arafura sign LOI for future gas supply",campbell
ASX - By Stock,22,6.8K,0,ASX - By Stock,OVT,"Re:
                                                        BNPL in USA: Can This Plan Add Up?",Poo21wtd
