Name,Last Notice,Total Shares,Shares Held (%),Ticker
Robert John Keith Shepherd,27/09/2024,15740443,6.61,14D
Kevin Moriarity,27/09/2024,16237916,6.82,14D
Lind Global Fund II LP,09/12/2024,17291801,6.22,14D
Perennial Value Management Limited,15/01/2025,26251524,8.55,ACF
Kerogen Investments No.1 (HK) Ltd,31/07/2024,779888166,56.67,AJL
Paul Torrance,20/08/2024,140026003,48.90,AAL
Salter Brothers Emerging Companies Limited,20/08/2024,25243038,8.80,AAL
HSBC Custody Nominees (Australia) Limited,20/08/2024,18135466,6.30,AAL
MA Financial Group Limited,06/02/2025,23556113,8.22,AAL
HSBC Custody Nominees (Australia) Limited,30/08/2024,33066586,6.09,3DA
Pegasus Growth Capital Fund I LP,17/02/2025,192124968,28.10,3DA
Industry Super Holdings Pty. Ltd,17/02/2025,36406926,5.32,3DA
Host Plus Pty Limited,17/02/2025,36406926,5.32,3DA
FIL Limited and the entities,18/09/2024,44656957,7.45,3DA
Andrew Michael Clayton Sales,16/09/2024,26207707,6.91,AL3
Regal Funds Management Pty Ltd,24/12/2024,29638913,5.51,AL3
Barthen Beheer BV,21/08/2024,22000000,6.07,A3D
Tattarang Ventures Pty Ltd,30/06/2024,71073651,19.61,ASB
Chester Asset Management Pty Limited,30/06/2024,21940000,6.05,ASB
Jarden Group Limited,04/04/2025,37608896,9.04,ASB
HAA No. 1 Pty Ltd,17/03/2025,41200000,9.90,ASB
Thorney Investment Group Australia pty ltd,15/08/2024,118781343,20.30,ANG
Wilson Asset Management Group,10/03/2025,63449488,10.23,ANG
Thorney Opportunities Ltd,10/09/2024,119666843,19.33,ANG
David Singleton,10/09/2024,32827908,5.30,ANG
G & N Lord Superannuation Pty Ltd,21/08/2024,641297354,25.66,BPP
Cumulus Wealth Pty Ltd,21/08/2024,257496960,10.30,BPP
Hoong Ngai Christopher Lai,28/08/2024,8000000,5.53,BMH
QP & CO Pty Ltd,28/08/2024,7500000,5.18,BMH
May Ern Gloria Lai,28/08/2024,8000000,5.53,BMH
Wonder Holdings Pty Ltd,28/08/2024,28333334,19.57,BMH
Tze Fong Gan,28/08/2024,8500000,5.87,BMH
Mutual Street Pty Ltd,15/04/2025,12707614,8.78,BMH
Ida Pratignjo LAU,12/11/2024,11807256,8.16,BMH
Grove Investment Group Pty Ltd,08/08/2024,59322639,14.04,BOL
Collins St Asset Management,08/08/2024,64054743,15.16,BOL
Greig & Harrison Pty Ltd,08/08/2024,33030600,7.82,BOL
