Date,Name,Sold,Previous %,New %,Ticker
09-12-24,Lind Global Fund II LP,2708199,7.24,6.22,14D
17-12-24,Citigroup Global Markets Australia Pty Limited,68828305,5.58,--,29M
12-12-24,Citigroup Global Markets Australia Pty Limited,44989302,6.41,--,29M
05-12-24,Yarra Management Nominees Pty Ltd,53288799,7.59,--,29M
05-06-24,Mitsubishi UFJ Financial Group Inc,36100704,5.14,--,29M
05-06-24,First Sentier Investors Holdings Pty Limited,36100704,5.14,--,29M
18-11-24,Michael John Catanzariti,6492586,5.44,--,T3D
11-09-24,Pentagon Financial Services Pty Limited,4078324,44.0,43.4,TGP
31-12-24,J D Management Group Pty Ltd,58668719,18.7,--,5GN
18-04-24,WIN Singapore Holdings Pte Ltd,4850000000,48.0,--,AYI
05-12-24,The Vanguard GroupInc,45068302,5.04,--,ABG
02-07-24,The Vanguard GroupInc,44828002,5.02,--,ABG
21-06-24,The Vanguard GroupInc,45001745,5.04,--,ABG
23-10-24,Craig John Thompson,35428562,6.53,--,AX1
27-08-24,Blundy Brett,82477463,14.90,--,AX1
16-12-24,BVF Partners L.P,19000000,8.40,7.29,ACW
12-02-25,Mark Scott Middleton,32175296,5.78,--,ATV
27-11-24,101IC Pty Ltd,21286749,7.33,--,ATV
24-12-24,Copia Investment Partners Ltd,6888889,5.00,--,ACE
09-12-24,Ador Powertron Limited,1666667,16.73,14.05,ACE
09-12-24,Jannink & Associates Pty Ltd,1619738,13.34,10.98,ACE
04-11-24,Platinum Investment Management Limited,1691886,13.8,12.7,1AD
29-08-24,Platinum Investment Management Limited,5971873,14.8,13.8,1AD
13-03-25,JPmorgan Chase & Co. and its affiliates,39817690,5.25,--,ADR
24-02-25,JPmorgan Chase & Co. and its affiliates,10000000,6.82,5.25,ADR
23-07-24,Bank of America Corporation and its related bodies corporate,44425394,6.09,--,ADR
14-05-24,Bank of America Corporation and its related bodies corporate,21810757,5.59,--,ADR
03-05-24,Phillip Asset Management Ltd,1032273573,23.16,18.90,ADR
03-05-24,Regal Funds Management Pty Limited,124852,10.91,9.29,ADR
29-04-24,Bank of America Corporation and its related bodies corporate,22222014,6.66,--,ADR
09-01-25,Burton Capital Holdings Pty Ltd,16416028,7.10,--,AI1
08-11-24,Esidium Group Pty Ltd,14910607,6.45,--,AI1
07-11-24,Justin Thomas,14578396,6.31,--,AI1
07-11-24,GA Skylight Pte Ltd,12511226,5.41,--,AI1
19-07-24,Woodson Capital Master Fund LP,6190458,6.58,--,ABY
18-02-25,David Dominic Pevcic,14836346,8.80,--,AVM
17-09-24,Cap Holdings Pty Ltd,7692308,5.68,--,AVM
21-06-24,Dovido Pty Limited,4465295,11.14,--,AVM
07-11-24,Keith Knowles,4886545,33.4,31.9,ABV
04-12-24,The Bank of New York Mellon Corporation,5.00,20.3,19.1,AHI
05-11-24,Adam Lanes Pty Ltd,43125000,6.51,--,AV1
26-02-25,Beata Maria Serafin,5200000,5.47,--,AMX
05-06-24,Beata Maria Serafin,1460999,7.06,5.47,AMX
07-05-24,Scott Tomlinson,1117387,8.86,7.63,AMX
01-11-24,BlackRock Group,33796017,5.02,--,AGL
18-10-24,BlackRock Group,33657672,5.00,--,AGL
16-10-24,BlackRock Group,34001322,5.05,--,AGL
10-09-24,BlackRock Group,33808187,5.02,--,AGL
06-12-24,William Howe,67023699,5.06,--,AGR
02-08-24,Warwick Grigor,58864214,5.45,--,AGR
13-03-25,Deanne Weir,2124608,7.73,6.71,AIM
16-12-24,EEG Video Holdings LLC,14630017,6.99,--,AIM
10-09-24,Deanne Weir,2500051,8.89,7.73,AIM
04-09-24,Salter Brothers Emerging Companies Limited,2920000,7.18,5.79,AIM
15-08-24,Salter Brothers Emerging Companies Limited,3200000,8.72,7.18,AIM
10-10-24,Firetrail Investments Pty Ltd,24278641,5.25,--,A1M
14-08-24,Chi San Liu,1000000,16.60,14.3,APW
14-08-24,LH and F Pty Ltd,1000000,16.60,14.3,APW
14-06-24,Li Li,4388020,9.86,--,APW
29-01-25,Colin Kenneth Locke,3200000,7.27,--,ALB
29-01-25,David Lee Palumbo,3700000,8.41,--,ALB
25-02-25,Salter Brothers Emerging Companies Limited,68549365,5.11,--,ALC
16-05-24,Perennial Value Management Limited,1995121,6.76,5.52,AQZ
06-03-25,Macquarie Group Limited and controlled bodies corporate,56823393,5.00,--,A4N
19-12-24,Macquarie Group Limited and controlled bodies corporate,57152978,5.04,--,A4N
13-12-24,Macquarie Group Limited and controlled bodies corporate,12861062,6.17,5.04,A4N
28-10-24,Australiansuper Pty Ltd,56910996,5.02,--,A4N
22-11-24,Deutsche Balaton Aktiengesellschaft,3322301,17.70,16.48,ATC
22-11-24,Delphi Unternehmensberatung Aktiengesellschaft,2190638,6.23,5.03,ATC
16-09-24,Melewar International Investment Company Limited,105663348,7.41,--,ATC
20-03-25,JPmorgan Chase & Co. and its affiliates,341554014,5.13,--,ATH
17-02-25,The Bank of New York Mellon Corporation,6135000,41.28,34.0,ATH
04-02-25,JPmorgan Chase & Co. and its affiliates,272198215,5.11,--,ATH
03-05-24,JPmorgan Chase & Co. and its affiliates,368579211,7.04,--,ATH
07-06-24,SG Hiscock and Company Limited,24713326,6.10,--,AGH
06-06-24,SG Hiscock and Company Limited,2827524,7.24,6.10,AGH
16-08-24,Colinton Capital Partners I (A) Pty Ltd,103408565,5.70,--,AMA
16-08-24,Logos Investment Management B.V.,227294118,5.97,--,AMA
15-08-24,Washington H. Soul Pattinson and Company Limited,210864750,5.54,--,AMA
15-08-24,FMR LLC and and the entities,97910909,5.42,--,AMA
18-07-24,John Prineas,24441250,5.99,--,AW1
25-06-24,David John O'Neill,23750000,5.82,--,AW1
16-09-24,Andrew Michael Clayton Sales,7000000,8.92,6.91,AL3
08-11-24,Aware Super Pty Ltd,7054599,5.01,--,AOV
22-10-24,Dimensional Entities,6046569,5.00,--,AOV
03-10-24,United Super Pty Ltd,7053389,5.01,--,AOV
01-10-24,State Street Corporation and subsidiaries,7046433,5.00,--,AOV
16-07-24,Aware Super Pty Ltd,8232344,5.84,--,AOV
12-06-24,State Street Corporation and subsidiaries,7047377,5.00,--,AOV
07-06-24,State Street Corporation and subsidiaries,7051394,5.00,--,AOV
23-01-25,Pinnacle Investment Management Group Limited,126673760,5.00,--,AMP
04-10-24,Pinnacle Investment Management Group Limited,130656121,5.03,--,AMP
23-05-24,The Vanguard GroupInc,2703429,5.00,6.02,AMP
09-08-24,Platinum Investment Management Limited,4164100,14.54,12.9,ATX
06-08-24,Washington H. Soul Pattinson and Company Limited,15200044,5.60,--,ATX
06-08-24,Pengana Capital Group Ltd,15200044,5.60,--,ATX
07-04-25,L1 Capital Pty Ltd,26994603,10.00,8.98,AEL
26-02-25,L1 Capital Pty Ltd,67231564,12.54,10.00,AEL
12-02-25,L1 Capital Pty Ltd,28992798,13.69,12.54,AEL
19-12-24,Mitsubishi UFJ Financial Group INC,138373659,5.24,--,AEL
11-12-24,Mitsubishi UFJ Financial Group Inc,135719310,5.14,--,AEL
11-12-24,First Sentier Investors Holdings Pty Limited,135719310,5.14,--,AEL
29-11-24,Mitsubishi UFJ Financial Group INC,142621379,5.40,--,AEL
29-11-24,First Sentier Investors Holdings Pty Limited,142621379,5.40,--,AEL
27-11-24,Mitsubishi UFJ Financial Group Inc,148623976,5.63,--,AEL
14-10-24,L1 Capital Pty Ltd,55404463,15.79,13.69,AEL
08-08-24,L1 Capital Pty Ltd,34380973,17.15,15.79,AEL
25-06-24,Morgan Stanley and its subsidiaries,363603502,13.77,--,AEL
25-06-24,Mitsubishi UFJ Financial Group Inc,428728762,16.24,--,AEL
25-06-24,Carol Australia Holdings Pty Limited,428728762,16.24,--,AEL
19-06-24,Commonwealth Bank of Australia and its related bodies corporate,159884141,6.06,--,AEL
19-06-24,Superannuation and Investments HoldCo Pty Ltd,156903149,5.94,--,AEL
19-06-24,Comet Asia Holdings II Pte Ltd,156903149,5.94,--,AEL
17-06-24,Mitsubishi UFJ Financial Group Inc,81107921,17.03,13.96,AEL
17-06-24,Carol Australia Holdings Pty Limited,81107921,17.03,13.96,AEL
07-06-24,Commonwealth Bank of Australia and its related bodies corporate,35712534,7.41,6.06,AEL
07-06-24,Superannuation and Investments HoldCo Pty Ltd,40978680,6.52,5.94,AEL
03-06-24,Commonwealth Bank of Australia and its related bodies corporate,30201077,8.55,7.41,AEL
28-05-24,Mitsubishi UFJ Financial Group Inc,81976476,9.29,6.16,AEL
28-05-24,Carol Australia Holdings Pty Limited,81976476,9.29,6.16,AEL
03-05-24,Challenger Limited,153934659,5.83,--,AEL
29-11-24,State Street Corporation and subsidiaries,2917409,8.58,7.36,ALD
25-11-24,BlackRock Group,17056835,7.15,--,ALD
17-07-24,State Street Corporation and subsidiaries,2544964,9.65,8.58,ALD
13-05-24,Australiansuper Pty Ltd,2401728,10.50,9.49,ALD
05-07-24,Tribeca Investment Partners Pty Ltd,4814814,5.40,--,ASL
22-08-24,Buratu Pty Ltd,161943712,5.30,--,ADN
12-03-25,Allan Gray Australia Pty Ltd,1468987,16.63,15.63,ANN
04-03-25,Pinnacle Investment Management Group Limited,7551553,5.17,--,ANN
18-12-24,Allan Gray Australia Pty Ltd,1945752,17.97,16.63,ANN
19-11-24,Australian Retirement Trust Pty Ltd,7379579,5.06,--,ANN
18-09-24,Australian Retirement Trust Pty Ltd,7334463,5.03,--,ANN
31-05-24,State Street Corporation and subsidiaries,1567290,7.07,5.83,ANN
31-05-24,Australian Retirement Trust Pty Ltd,6311987,5.03,--,ANN
21-10-24,Medallion Metals Limited,15713662,6.27,--,AM5
04-12-24,Newcrest Mining Limited,356114785,8.83,--,AZY
15-05-24,State Street Corporation and subsidiaries,57504493,8.03,6.12,ANZ
10-12-24,JPmorgan Chase & Co. and its affiliates,68418341,5.28,--,APA
22-10-24,JPmorgan Chase & Co. and its affiliates,89138562,6.88,--,APA
18-10-24,National Nominees Ltd as Custodian for Unisuper Ltd,117678377,9.97,--,APA
09-04-25,Mark Gareth Creasy,102282056,9.85,--,APC
04-09-24,Regal Funds Management Pty Ltd,20136316,11.2,--,AHX
13-02-25,Arredo Pty Ltd,44400000,5.65,--,AON
27-03-25,Mitsubishi UFJ Financial Group Inc,13317986,5.04,--,APX
27-03-25,First Sentier Investors Holdings Pty Limited,13317986,5.04,--,APX
04-03-25,Mitsubishi UFJ Financial Group Inc,13558925,5.19,--,APX
04-03-25,First Sentier Investors Holdings Pty Limited,13558925,5.19,--,APX
03-03-25,UBS Group AG and its related bodies corporate,14049483,5.38,--,APX
24-02-25,UBS Group AG and its related bodies corporate,13617047,5.21,--,APX
21-02-25,State Street Corporation and subsidiaries,13078359,5.01,--,APX
11-02-25,UBS Group AG and its related bodies corporate,13473568,5.17,--,APX
16-01-25,Mitsubishi UFJ Financial Group Inc,13169849,5.05,--,APX
27-11-24,Mitsubishi UFJ Financial Group Inc,13773603,5.28,--,APX
27-11-24,First Sentier Investors Holdings Pty Limited,13773603,5.28,--,APX
30-09-24,Mitsubishi UFJ Financial Group Inc,11225700,5.03,--,APX
30-09-24,First Sentier Investors Holdings Pty Limited,11225700,5.03,--,APX
20-09-24,Mitsubishi UFJ Financial Group Inc,11176893,5.01,--,APX
20-09-24,First Sentier Investors Holdings Pty Limited,11176893,5.01,--,APX
26-02-25,First Sentier Investors Holdings Pty Limited,4243252,5.11,--,ARB
25-02-25,Mitsubishi UFJ Financial Group Inc,4243252,5.11,--,ARB
11-12-24,Mitsubishi UFJ Financial Group Inc,4278667,5.15,--,ARB
11-12-24,First Sentier Investors Holdings Pty Limited,4278667,5.15,--,ARB
