document_id,shareholder_name,event_date,present_votes,present_power,number_of_securities,ticker,event_type,previous_votes,previous_power,present_votes_affected,number_of_securities_affected
2024020502769488,RICHARD CONELIANO,2024-02-05,70492961.0,13.43,,RDX,change,0.0,0.0,,
2024020602769809,CLAUDIA WALTERS,2024-02-06,41869854.0,7.97,41869854.0,RDX,new,,,,
2024022102775131,JWT HOLDINGS PTY LTD,2024-02-21,5214403.0,5.08,5214403.0,HCL,new,,,,
2024022702777850,FIL LIMITED,2024-02-27,43508324.0,5.51,43508324.0,RWC,new,,,,
2024022702777620,SKM INVESTMENT GROUP PTY LTD,2024-02-27,30810000.0,57.26,,FOS,change,30750000.0,57.15,,
2024022802778596,OMNIVEST PTY LTD ATF THE CLEGG SUPERANNUATION FUND,2024-02-28,7888786.0,6.13,,REM,change,7694859.0,9.67,,
2024022802778599,ADRIAN JOHN HOLLIS,2024-02-28,13408422.0,10.42,,REM,change,12814473.0,16.12,,
2024030502781415,MR. JAMES ROBERT BALDWIN,2024-03-05,15290656.0,5.1,,HNG,change,15290656.0,6.36,,
2024030502781265,SERY GROUP,2024-03-05,29374067.0,9.8,,HNG,change,29374067.0,10.83,,
2024031202783984,JON EDWARDS,2024-03-12,12500000.0,8.34,,REM,change,7500000.0,5.83,,
2024031402785145,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,2024-03-14,26982859.0,5.138,26982859.0,RDX,new,,,,
2024032002787034,UNIVERSAL-INVESTMENT-GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,2024-03-20,5812789.0,4.999,,LBL,change,5851423.0,5.03,,
2024032702789462,SUPERMANUATION AND INVESTMENTS HOLDCO PTY LTD,2024-03-27,16409283.0,6.24,,SXE,change,20584664.0,7.84,,
2024032702789397,COMMONWEALTH BANK OF AUSTRALIA,2024-03-27,16469023.0,6.24,,SXE,change,19431542.0,7.39,,
2024032802790382,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED,2024-03-28,16677193.0,6.34,,SXE,change,19681477.0,7.48,,
2024040202790954,MITSUBISHI UFJ FINANCIAL GROUP INC,2024-04-02,16877190.0,6.34,,SXE,change,19968147.0,7.48,,
2024041602796131,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN ANNEXURES TO THIS FORM,2024-04-16,40085957.0,5.07,40085957.0,RWC,new,,,,
2024042602799651,YARRA CAPITAL MANAGEMENT LIMITED ACN 003 376 252,2024-04-26,53895906.0,6.82,,RWC,change,66096331.0,8.37,,
2024050102802394,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,2024-05-01,100584829.0,19.0934,,WOR,new,,,,
2024050102802310,MARK GABRIEL VARTULI / VARS ENTERPRISES PTY LTD / MEAGAN JOY VARTULI,2024-05-01,40120870.0,18.4,40120870.0,TEA,new,,,,
2024050102802309,STEPHEN ELLIOTT YOUNG / PORT TACK PTY LTD / MARESA PTY LTD,2024-05-01,90646956.0,41.6,90646956.0,TEA,new,,,,
2024050602803915,L1 CAPITAL PTY LTD AND EACH OF THE ENTITIES SET OUT IN ANNEXURE A,2024-05-06,26851222.0,5.1,,WOR,new,,,,
2024050902805055,T. ROWE PRICE ASSOCIATES INC,2024-05-09,29576839.0,5.61,,WOR,change,34748359.0,6.61,,
2024051402806388,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN ANNEXURES TO THIS FORM,2024-05-14,45396873.0,5.31,45396873.0,VNT,new,,,,
2024051602807721,VALRICH SUPERANNUATION PTY LTD,2024-05-16,28499153.0,17.28,,REM,change,15999153.0,12.43,,
2024052002808553,VIBURNUM FUNDS PTY LTD,2024-05-20,30403284.0,27.54,,CYG,change,28999105.0,26.45,,
2024052202809461,MR GEOFFREY FREDERICK LORD,2024-05-22,676356354.0,27.05,,BPP,change,597343285.0,25.07,,
