,Ticker,Company,Sector
0,14D,1414 DEGREES LIMITED,Capital Goods
1,29M,29METALS LIMITED,Materials
2,T3D,333D LIMITED,Commercial & Professional Services
3,TGP,360 CAPITAL GROUP,Financial Services
4,TCF,360 CAPITAL MORTGAGE REIT,Not Applic
5,TOT,360 CAPITAL REIT,Equity Real Estate Investment Trusts (REITs)
6,TDO,3D ENERGI LIMITED,Energy
7,3PL,3P LEARNING LIMITED..,Consumer Services
8,4DX,4DMEDICAL LIMITED,Health Care Equipment & Services
9,4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment
10,5EA,5E ADVANCED MATERIALS INC.,Materials
11,5GN,5G NETWORKS LIMITED.,Software & Services
12,88E,88 ENERGY LIMITED,Energy
13,8CO,8COMMON LIMITED,Software & Services
14,8IH,8I HOLDINGS LTD,Financial Services
15,AYI,A1 INVESTMENTS & RESOURCES LTD,Financial Services
16,ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs)
17,ASK,ABACUS STORAGE KING,Equity Real Estate Investment Trusts (REITs)
18,ABX,ABX GROUP LIMITED,Materials
19,AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services
20,AX8,ACCELERATE RESOURCES LIMITED,Materials
21,AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail
22,ACS,ACCENT RESOURCES NL,Materials
23,ADC,ACDC METALS LTD,Materials
24,ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic
25,ACF,ACROW LIMITED,Capital Goods
26,ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
27,ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
28,ATV,ACTIVEPORT GROUP LTD,Software & Services
29,AIV,ACTIVEX LIMITED,Materials
30,ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development
31,ACE,ACUSENSUS LIMITED.,Software & Services
32,ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail
33,1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
34,ADD,ADAVALE RESOURCES LIMITED,Energy
35,ADG,ADELONG GOLD LIMITED,Materials
36,ADR,ADHERIUM LIMITED,Health Care Equipment & Services
37,AI1,ADISYN LTD,Software & Services
38,ADY,ADMIRALTY RESOURCES NL.,Materials
39,AD1,ADNEO LIMITED,Media & Entertainment
40,ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail
41,AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components
42,ADT,ADRIATIC METALS PLC,Materials
43,ADS,ADSLOT LTD.,Software & Services
